"匿名答卷编号","提交时间（北京时间）","答卷综合得分率（%）","题号","题目编号","题目标题","素材模态","能力类型","选项形式","题目分值","本题候选情绪","用户选择情绪","用户情绪强度","标准情绪","标准情绪强度","是否看过素材","作答状态","标签得分率（%）","强度得分率（%）","单题综合得分率（%）","单题实得分","作答用时（秒）","修改次数"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","1","ITEM-00086","79","音频","情绪推理","多选题","4.50","厌倦｜兴奋｜共情痛苦｜平静｜遗憾｜震惊｜满足｜愉悦｜渴望｜烦躁","烦躁","4","烦躁｜厌倦","4｜4","否","已作答","66.67","50.00","60.00","2.70","58.34","3"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","2","ITEM-00121","106","图像","情绪识别","单选题","3.50","痛苦｜悲伤｜惊讶｜自满｜内疚｜释然｜满足｜敌意｜惊喜｜快乐","惊讶","5","惊讶","5","是","已作答","100.00","100.00","100.00","3.50","20.83","4"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","3","ITEM-00076","78","音频","情绪识别","多选题","4.50","兴趣｜共情痛苦｜烦躁｜遗憾｜释然｜失望｜羞耻｜嫉妒｜轻松｜担忧","烦躁","4","羞耻｜烦躁","4｜5","是","已作答","66.67","37.50","55.00","2.47","39.04","3"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","4","ITEM-00088","81","视频","情绪识别","多选题","4.50","惊喜｜共情痛苦｜愤怒｜爱｜震惊｜快乐｜兴奋｜惊讶｜崇拜｜厌倦","爱｜快乐｜兴奋｜惊喜","5｜4｜4｜5","快乐｜惊喜｜兴奋｜爱","5｜5｜5｜5","是","已作答","100.00","87.50","95.00","4.28","65.74","9"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","5","ITEM-00109","88","音频","情绪推理","多选题","4.50","羞耻｜困惑｜爱｜震惊｜厌恶｜烦躁｜厌倦｜兴趣｜焦虑｜羡慕","兴趣","3","厌倦｜困惑","3｜3","否","已作答","0.00","0.00","0.00","0.00","45.40","4"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","6","ITEM-00150","86","视频","情绪推理","多选题","4.50","愉悦｜蔑视｜内疚｜快乐｜惊讶｜惊喜｜痛苦｜感激｜满足｜共情痛苦","愉悦｜快乐","4｜4","满足｜快乐","4｜3","否","已作答","50.00","37.50","45.00","2.02","35.32","7"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","7","ITEM-00141","67","文本","情绪推理","多选题","4.50","痛苦｜惊讶｜愤怒｜共情痛苦｜恐惧｜崇拜｜好奇｜冷静｜委屈｜厌恶","愤怒｜厌恶","5｜3","愤怒｜惊讶","4｜3","否","已作答","50.00","37.50","45.00","2.02","99.51","6"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","8","ITEM-00040","53","文本","情绪识别","单选题","3.50","感激｜怨恨｜平静｜蔑视｜惊讶｜释然｜愉悦｜愁闷｜厌倦｜爱","怨恨","5","怨恨","5","否","已作答","100.00","100.00","100.00","3.50","16.20","3"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","9","ITEM-00043","65","视频","情绪识别","多选题","4.50","快乐｜感动｜抑郁｜遗憾｜敌意｜怀旧｜委屈｜自满｜愉悦｜惊讶","遗憾｜怀旧","4｜3","怀旧｜感动｜愉悦｜遗憾","5｜3｜3｜5","否","已作答","66.67","31.25","52.50","2.36","48.67","6"
"ZJ20260816C01C33B1","2026-08-16 13:24:56","68.08","10","ITEM-00096","74","文本","情绪识别","多选题","4.50","自满｜轻松｜好奇｜冷静｜委屈｜内疚｜愉悦｜满足｜审美欣赏｜厌倦","轻松｜愉悦｜满足｜审美欣赏","4｜4｜5｜3","审美欣赏｜愉悦","5｜5","否","已作答","66.67","62.50","65.00","2.92","36.91","11"
