答卷编号,提交时间,总作答时间（秒）,答卷综合得分率,作答题数,平均标签得分率,平均强度得分率,命中经验短时阈值,命中经验低分阈值,命中分布短时阈值,命中分布低分阈值,重点可疑,复核原因,纳入主分析
ZJ202608131494BDB9,2026-08-13 20:16:00,1023.98,61.74,24,64.88166666666667,58.333333333333336,False,False,False,False,False,未命中,True
ZJ20260813297B44F5,2026-08-13 20:54:00,644.04,43.77,24,47.08375,39.496249999999996,False,False,False,False,False,未命中,True
ZJ202608132A3CC2DB,2026-08-13 22:38:00,595.3100000000001,41.16,24,44.58416666666667,32.8125,False,False,False,False,False,未命中,True
ZJ202608134F0B58AC,2026-08-13 20:31:00,934.4300000000001,64.25,24,64.80125,62.41291666666667,False,False,False,False,False,未命中,True
ZJ2026081352E21FDB,2026-08-16 11:06:00,910.3199999999999,60.25,24,64.44458333333334,53.211666666666666,False,False,False,False,False,未命中,True
ZJ2026081356B3B418,2026-08-13 20:23:00,692.57,56.36,24,62.36166666666667,47.569583333333334,False,False,False,False,False,未命中,True
ZJ202608135E4C7DD1,2026-08-13 23:31:00,904.13,29.78,24,32.46041666666667,21.875,False,True,False,False,False,仅低分：原则保留,True
ZJ2026081366DF977F,2026-08-13 20:35:00,1245.39,47.58,24,48.86875,41.2325,False,False,False,False,False,未命中,True
ZJ2026081369148C08,2026-08-13 20:34:00,1191.78,68.56,24,71.99083333333333,66.00708333333334,False,False,False,False,False,未命中,True
ZJ20260813A3553B82,2026-08-15 23:32:00,703.15,75.74,24,81.75958333333334,67.5,False,False,False,False,False,未命中,True
ZJ20260813C88669C0,2026-08-13 21:16:00,1811.24,48.56,24,53.90875,40.10458333333333,False,False,False,False,False,未命中,True
ZJ20260813CE461F0E,2026-08-13 21:49:00,1247.02,56.21,24,54.236250000000005,55.468333333333334,False,False,False,False,False,未命中,True
ZJ20260813D35E590E,2026-08-16 11:29:00,954.18,46.66,24,45.57541666666666,46.354166666666664,False,False,False,False,False,未命中,True
ZJ20260813DC44AC4B,2026-08-13 20:41:00,1338.07,60.88,24,59.159166666666664,62.135416666666664,False,False,False,False,False,未命中,True
ZJ20260813E0D35121,2026-08-13 20:47:00,967.35,53.37,24,54.42458333333334,48.611250000000005,False,False,False,False,False,未命中,True
ZJ20260813EFF97C9D,2026-08-16 12:01:00,1930.76,69.11,24,70.8075,66.49291666666666,False,False,False,False,False,未命中,True
ZJ20260813F0E0F1B6,2026-08-16 11:03:00,755.11,36.25,24,41.11166666666667,28.489583333333332,False,False,False,False,False,未命中,True
ZJ20260813FAF57D47,2026-08-15 21:53:00,1794.42,45.08,24,50.099583333333335,37.760416666666664,False,False,False,False,False,未命中,True
ZJ20260814AC289315,2026-08-14 17:40:00,774.52,87.0,24,91.66666666666667,81.25,False,False,False,False,False,未命中,True
ZJ20260815082581AF,2026-08-15 23:58:00,1035.99,62.12,24,62.142500000000005,63.54208333333333,False,False,False,False,False,未命中,True
ZJ2026081508C07905,2026-08-15 23:44:00,109.51,8.71,24,9.7225,5.382083333333334,True,True,False,True,True,短时且低分：重点复核,False
ZJ202608151446AC9B,2026-08-15 23:10:00,630.8100000000001,45.22,24,51.54791666666667,33.59375,False,False,False,False,False,未命中,True
ZJ202608151F3346B5,2026-08-16 06:45:00,852.24,59.18,24,61.13125,54.34041666666667,False,False,False,False,False,未命中,True
ZJ2026081530EFBB7A,2026-08-15 23:43:00,123.36,17.66,24,19.7225,13.367916666666666,True,True,False,False,True,短时且低分：重点复核,False
ZJ2026081555E6E754,2026-08-15 23:44:00,235.82,19.09,24,20.83375,14.583333333333334,True,True,False,False,True,短时且低分：重点复核,False
ZJ202608155BC8BE7D,2026-08-16 00:28:00,705.63,63.62,24,67.98708333333333,56.770833333333336,False,False,False,False,False,未命中,True
ZJ202608156B6462DB,2026-08-16 09:30:00,134.26,5.76,24,6.25,3.8195833333333336,True,True,False,True,True,短时且低分：重点复核,False
ZJ202608158B3191E7,2026-08-16 00:30:00,633.39,51.54,24,55.47625,45.53791666666667,False,False,False,False,False,未命中,True
ZJ202608158EB550CF,2026-08-16 07:50:00,1015.08,57.39,24,63.52166666666667,46.875,False,False,False,False,False,未命中,True
ZJ20260815904AC83A,2026-08-16 00:08:00,359.85,39.37,24,42.52041666666667,35.711666666666666,True,False,False,False,False,仅短时：暂不删除,True
ZJ20260815B6992A82,2026-08-15 23:13:00,157.44,11.9,24,14.166666666666666,13.020833333333334,True,True,False,True,True,短时且低分：重点复核,False
ZJ20260815F71A0DC4,2026-08-15 23:30:00,767.71,48.7,24,54.67625,41.145833333333336,False,False,False,False,False,未命中,True
ZJ20260815F9E52787,2026-08-16 10:44:00,797.64,50.59,24,53.849583333333335,44.895833333333336,False,False,False,False,False,未命中,True
ZJ20260816040C20EF,2026-08-16 11:37:00,657.37,42.62,24,46.11208333333334,36.197916666666664,False,False,False,False,False,未命中,True
ZJ202608160520693C,2026-08-16 11:46:00,835.06,61.98,24,65.71458333333334,57.638749999999995,False,False,False,False,False,未命中,True
ZJ20260816068EE4ED,2026-08-16 11:36:00,696.6899999999999,41.53,24,45.15875,34.635416666666664,False,False,False,False,False,未命中,True
ZJ202608160816DE75,2026-08-16 11:46:00,847.8000000000001,36.04,24,40.55625,30.55541666666667,False,False,False,False,False,未命中,True
ZJ202608160A6834BD,2026-08-16 11:41:00,163.12,25.08,24,28.055833333333336,20.138749999999998,True,True,False,False,True,短时且低分：重点复核,False
ZJ202608160AAC199B,2026-08-16 11:26:00,694.43,49.31,24,54.72291666666666,42.708333333333336,False,False,False,False,False,未命中,True
ZJ202608160C984004,2026-08-16 12:33:00,801.42,52.7,24,61.38958333333333,44.965,False,False,False,False,False,未命中,True
ZJ202608161151704F,2026-08-16 11:40:00,963.83,56.1,24,57.291666666666664,49.34041666666667,False,False,False,False,False,未命中,True
ZJ20260816136E1227,2026-08-16 11:20:00,38.839999999999996,13.8,24,17.916666666666668,9.010416666666666,True,True,False,True,True,短时且低分：重点复核,False
ZJ2026081613828DCA,2026-08-16 11:29:00,1026.15,33.39,24,34.86166666666667,29.166666666666668,False,False,False,False,False,未命中,True
ZJ2026081616754E08,2026-08-16 11:21:00,566.05,31.68,24,32.9175,26.041666666666668,False,False,False,False,False,未命中,True
ZJ202608161CF31AB6,2026-08-16 11:39:00,1184.74,58.53,24,58.4925,51.90958333333333,False,False,False,False,False,未命中,True
ZJ20260816203C4431,2026-08-16 11:35:00,518.7,38.78,24,40.139583333333334,34.20125,False,False,False,False,False,未命中,True
ZJ20260816215081F0,2026-08-16 11:39:00,1312.8799999999999,52.36,24,52.916666666666664,47.569583333333334,False,False,False,False,False,未命中,True
ZJ2026081626A9F0C8,2026-08-16 11:34:00,1003.4399999999999,54.71,24,56.409166666666664,50.81583333333333,False,False,False,False,False,未命中,True
ZJ202608162AB00269,2026-08-16 11:41:00,633.6,46.99,24,50.97291666666666,37.93416666666666,False,False,False,False,False,未命中,True
ZJ202608162DF0DA84,2026-08-16 11:39:00,905.68,60.69,24,65.09291666666667,53.03791666666667,False,False,False,False,False,未命中,True
ZJ202608162EF0CB38,2026-08-16 11:25:00,678.2,45.02,24,48.333333333333336,42.36083333333333,False,False,False,False,False,未命中,True
ZJ2026081631281475,2026-08-16 11:37:00,1027.97,56.54,24,61.48833333333334,51.388749999999995,False,False,False,False,False,未命中,True
ZJ20260816316503A8,2026-08-16 12:22:00,1252.97,55.8,24,59.96041666666667,47.569583333333334,False,False,False,False,False,未命中,True
ZJ2026081632C60C6E,2026-08-16 12:36:00,949.55,61.09,24,64.0675,56.42333333333334,False,False,False,False,False,未命中,True
ZJ20260816359E5D1C,2026-08-16 11:38:00,490.02,35.66,24,38.47291666666667,28.99291666666667,False,False,False,False,False,未命中,True
ZJ202608163FC20E16,2026-08-16 11:24:00,665.76,48.35,24,56.38958333333333,41.492916666666666,False,False,False,False,False,未命中,True
ZJ20260816400E816D,2026-08-16 11:22:00,540.47,54.53,24,59.04791666666667,48.524166666666666,False,False,False,False,False,未命中,True
ZJ20260816459772A7,2026-08-16 11:46:00,1015.28,51.38,24,54.33541666666667,46.007083333333334,False,False,False,False,False,未命中,True
ZJ202608164707BB2E,2026-08-16 11:30:00,548.47,45.14,24,49.48416666666666,41.145833333333336,False,False,False,False,False,未命中,True
ZJ20260816470D778E,2026-08-16 12:06:00,826.06,64.5,24,68.40291666666667,57.361250000000005,False,False,False,False,False,未命中,True
ZJ2026081647252C0B,2026-08-16 11:39:00,1207.97,50.1,24,54.30625,44.70458333333334,False,False,False,False,False,未命中,True
ZJ20260816485C7DF4,2026-08-16 11:43:00,1154.8899999999999,58.86,24,60.85333333333333,52.864583333333336,False,False,False,False,False,未命中,True
ZJ20260816493CBED0,2026-08-16 11:46:00,791.03,48.07,24,50.675000000000004,41.75333333333334,False,False,False,False,False,未命中,True
ZJ202608164A9B5EAB,2026-08-16 12:12:00,789.78,49.97,24,51.48208333333333,44.930416666666666,False,False,False,False,False,未命中,True
ZJ202608165077788D,2026-08-16 11:43:00,1085.88,59.96,24,66.50750000000001,49.461666666666666,False,False,False,False,False,未命中,True
ZJ2026081651FA7FF0,2026-08-16 12:35:00,525.38,50.48,24,57.22291666666666,43.75,False,False,False,False,False,未命中,True
ZJ202608165738A5E3,2026-08-16 11:45:00,800.89,52.66,24,57.599583333333335,44.53125,False,False,False,False,False,未命中,True
ZJ202608165B75EE9F,2026-08-16 08:38:00,1058.97,45.6,24,46.865,41.73625,False,False,False,False,False,未命中,True
ZJ202608165C2924F8,2026-08-16 11:39:00,923.8199999999999,40.08,24,43.90875,35.242916666666666,False,False,False,False,False,未命中,True
ZJ202608165DBFAD9B,2026-08-16 11:38:00,591.08,38.72,24,44.86166666666667,34.635416666666664,False,False,False,False,False,未命中,True
