抽题组合,每卷组合配额,组合题库数,期望作答人数,题目数,实际最小人数,实际最大人数,实际平均人数,组合内覆盖变异系数
图像 / 单选题 / 情绪识别,2,28,9.142857142857142,28,3,15,9.142857142857142,0.34806321763757553
图像 / 多选题 / 情绪推理,1,2,64.0,2,64,64,64.0,0.0
图像 / 多选题 / 情绪识别,3,22,17.454545454545453,22,11,29,17.454545454545453,0.21778533517114612
文本 / 单选题 / 情绪推理,1,4,32.0,4,27,37,32.0,0.1301041249666333
文本 / 单选题 / 情绪识别,1,10,12.8,10,9,18,12.8,0.21725680848556467
文本 / 多选题 / 情绪推理,1,3,42.666666666666664,3,32,48,42.666666666666664,0.2165063509461097
文本 / 多选题 / 情绪识别,3,12,32.0,12,21,40,32.0,0.18985266416595026
视频 / 单选题 / 情绪推理,1,4,32.0,4,30,34,32.0,0.057054433073454806
视频 / 单选题 / 情绪识别,1,19,6.7368421052631575,19,3,12,6.7368421052631575,0.3493176787850932
视频 / 多选题 / 情绪推理,2,8,32.0,8,25,38,32.0,0.13975424859373686
视频 / 多选题 / 情绪识别,2,13,19.692307692307693,13,13,26,19.692307692307693,0.2045845996120859
音频 / 单选题 / 情绪识别,2,7,36.57142857142857,7,31,43,36.57142857142857,0.12213930342074236
音频 / 多选题 / 情绪推理,2,6,42.666666666666664,6,35,51,42.666666666666664,0.14946192554460153
音频 / 多选题 / 情绪识别,2,9,28.444444444444443,9,23,36,28.444444444444443,0.14400241086849033
