题目编号,有效作答人数,严格完全识别率,平均部分标签得分,平均强度匹配得分,全部答卷作答人数,全部答卷完全识别率,全部答卷部分标签得分,全部答卷强度匹配得分,完全识别率差,部分标签得分差,强度匹配得分差
ITEM-00086,51.0,0.23529411764705882,0.6745215686274509,0.5931372549019608,52,0.23076923076923078,0.6615500000000001,0.5817307692307693,0.004524886877828038,0.012971568627450858,0.011406485671191513
ITEM-00121,14.0,0.7142857142857143,0.7142857142857143,0.625,14,0.7142857142857143,0.7142857142857143,0.625,0.0,0.0,0.0
ITEM-00076,24.0,0.0,0.3696458333333334,0.3020833333333333,25,0.0,0.35486000000000006,0.29,0.0,0.014785833333333331,0.012083333333333335
ITEM-00088,24.0,0.375,0.8678458333333333,0.6354166666666666,27,0.3333333333333333,0.8208037037037037,0.5925925925925926,0.041666666666666685,0.047042129629629614,0.04282407407407407
ITEM-00109,49.0,0.061224489795918366,0.4174000000000001,0.35459183673469385,51,0.058823529411764705,0.4010313725490196,0.34068627450980393,0.002400960384153661,0.0163686274509805,0.013905562224889922
ITEM-00150,38.0,0.18421052631578946,0.32807368421052635,0.25,41,0.17073170731707318,0.30406829268292684,0.23170731707317074,0.01347881899871628,0.024005391527599507,0.018292682926829257
ITEM-00141,48.0,0.08333333333333333,0.5491166666666666,0.46875,52,0.07692307692307693,0.5196980769230769,0.4423076923076923,0.006410256410256401,0.029418589743589685,0.02644230769230771
ITEM-00040,16.0,0.625,0.625,0.578125,18,0.5555555555555556,0.5555555555555556,0.5138888888888888,0.06944444444444442,0.06944444444444442,0.06423611111111116
ITEM-00043,17.0,0.0,0.4733823529411764,0.2647058823529412,18,0.0,0.4470833333333333,0.25,0.0,0.026299019607843144,0.01470588235294118
ITEM-00096,40.0,0.15,0.6550100000000001,0.634375,42,0.14285714285714285,0.6238190476190477,0.6041666666666666,0.007142857142857145,0.031190952380952375,0.030208333333333393
ITEM-00070,37.0,0.16216216216216217,0.6348837837837837,0.527027027027027,39,0.15384615384615385,0.602325641025641,0.5,0.008316008316008316,0.03255814275814273,0.027027027027026973
ITEM-00065,20.0,0.0,0.53452,0.340625,21,0.0,0.5281142857142858,0.3333333333333333,0.0,0.006405714285714237,0.007291666666666696
ITEM-00051,15.0,0.4666666666666667,0.4666666666666667,0.43333333333333335,17,0.47058823529411764,0.47058823529411764,0.4264705882352941,-0.0039215686274509665,-0.0039215686274509665,0.006862745098039247
ITEM-00149,33.0,0.36363636363636365,0.36363636363636365,0.3333333333333333,37,0.35135135135135137,0.35135135135135137,0.31756756756756754,0.012285012285012276,0.012285012285012276,0.01576576576576577
ITEM-00064,18.0,0.16666666666666666,0.4759333333333334,0.3680555555555556,19,0.15789473684210525,0.4772,0.3684210526315789,0.008771929824561403,-0.0012666666666666382,-0.0003654970760233467
ITEM-00092,28.0,0.35714285714285715,0.7786535714285715,0.6696392857142858,29,0.3448275862068966,0.7690448275862068,0.6551689655172414,0.012315270935960576,0.009608743842364653,0.014470320197044417
ITEM-00100,33.0,0.15151515151515152,0.5303090909090908,0.4962121212121212,35,0.14285714285714285,0.5000057142857143,0.46785714285714286,0.00865800865800867,0.030303376623376566,0.028354978354978355
ITEM-00095,28.0,0.32142857142857145,0.7787464285714284,0.7723214285714286,29,0.3448275862068966,0.7863758620689655,0.7629310344827587,-0.023399014778325122,-0.007629433497537086,0.009390394088669929
ITEM-00123,41.0,0.6341463414634146,0.6341463414634146,0.5365853658536586,43,0.6046511627906976,0.6046511627906976,0.5116279069767442,0.029495178672717004,0.029495178672717004,0.024957458876914362
ITEM-00048,34.0,0.7058823529411765,0.7058823529411765,0.6102941176470589,34,0.7058823529411765,0.7058823529411765,0.6102941176470589,0.0,0.0,0.0
ITEM-00130,19.0,0.10526315789473684,0.5701842105263158,0.46710526315789475,19,0.10526315789473684,0.5701842105263158,0.46710526315789475,0.0,0.0,0.0
ITEM-00027,8.0,0.5,0.5,0.4375,8,0.5,0.5,0.4375,0.0,0.0,0.0
ITEM-00139,64.0,0.03125,0.42798593749999997,0.3359375,70,0.02857142857142857,0.4222542857142857,0.33035714285714285,0.0026785714285714295,0.005731651785714276,0.005580357142857151
ITEM-00142,33.0,0.3939393939393939,0.3939393939393939,0.3484848484848485,36,0.3888888888888889,0.3888888888888889,0.3472222222222222,0.0050505050505050275,0.0050505050505050275,0.0012626262626262985
ITEM-00138,37.0,0.0,0.2648675675675676,0.20945945945945946,39,0.0,0.2641051282051282,0.20833333333333334,0.0,0.00076243936243936,0.0011261261261261146
ITEM-00037,14.0,0.7142857142857143,0.7142857142857143,0.44642857142857145,15,0.7333333333333333,0.7333333333333333,0.48333333333333334,-0.01904761904761898,-0.01904761904761898,-0.036904761904761885
ITEM-00057,33.0,0.6363636363636364,0.6363636363636364,0.5606060606060606,35,0.6,0.6,0.5285714285714286,0.036363636363636376,0.036363636363636376,0.03203463203463197
ITEM-00007,13.0,0.15384615384615385,0.15384615384615385,0.1346153846153846,13,0.15384615384615385,0.15384615384615385,0.1346153846153846,0.0,0.0,0.0
ITEM-00009,35.0,0.4,0.4,0.21428571428571427,37,0.3783783783783784,0.3783783783783784,0.20270270270270271,0.021621621621621623,0.021621621621621623,0.01158301158301156
ITEM-00125,26.0,0.15384615384615385,0.6331538461538462,0.5160115384615385,27,0.14814814814814814,0.6245185185185186,0.5030740740740741,0.005698005698005715,0.008635327635327594,0.012937464387464348
ITEM-00015,6.0,0.16666666666666666,0.16666666666666666,0.125,6,0.16666666666666666,0.16666666666666666,0.125,0.0,0.0,0.0
ITEM-00077,26.0,0.11538461538461539,0.5668538461538463,0.5096153846153846,28,0.10714285714285714,0.5501750000000001,0.49107142857142855,0.008241758241758254,0.016678846153846183,0.018543956043956034
ITEM-00097,36.0,0.1111111111111111,0.35436944444444446,0.3229166666666667,39,0.10256410256410256,0.32711025641025643,0.2980769230769231,0.008547008547008544,0.02725918803418803,0.024839743589743613
ITEM-00046,12.0,0.0,0.5531833333333332,0.4791666666666667,17,0.0,0.4297,0.3602941176470588,0.0,0.12348333333333322,0.11887254901960786
ITEM-00094,23.0,0.08695652173913043,0.3898608695652174,0.29891304347826086,25,0.08,0.38534,0.285,0.006956521739130431,0.004520869565217411,0.01391304347826089
ITEM-00084,43.0,0.046511627906976744,0.3230372093023256,0.29069767441860467,48,0.041666666666666664,0.31369375000000005,0.2734375,0.004844961240310079,0.009343459302325552,0.017260174418604668
ITEM-00073,19.0,0.15789473684210525,0.5491315789473684,0.4342105263157895,21,0.14285714285714285,0.49683333333333335,0.39285714285714285,0.015037593984962405,0.052298245614035066,0.04135338345864664
ITEM-00004,34.0,0.7647058823529411,0.7647058823529411,0.5367647058823529,35,0.7714285714285715,0.7714285714285715,0.55,-0.006722689075630339,-0.006722689075630339,-0.013235294117647123
ITEM-00140,48.0,0.14583333333333334,0.6086354166666667,0.5651041666666666,52,0.1346153846153846,0.5746384615384615,0.5288461538461539,0.011217948717948734,0.03399695512820511,0.036258012820512775
ITEM-00115,10.0,0.8,0.8,0.675,11,0.7272727272727273,0.7272727272727273,0.6136363636363636,0.07272727272727275,0.07272727272727275,0.0613636363636364
ITEM-00143,37.0,0.2972972972972973,0.2972972972972973,0.18243243243243243,38,0.2894736842105263,0.2894736842105263,0.17763157894736842,0.007823613086770986,0.007823613086770986,0.0048008534850640106
ITEM-00108,35.0,0.08571428571428572,0.39660000000000006,0.4107142857142857,38,0.07894736842105263,0.36528947368421055,0.3782894736842105,0.006766917293233088,0.03131052631578951,0.03242481203007519
ITEM-00106,31.0,0.4838709677419355,0.4838709677419355,0.41935483870967744,33,0.45454545454545453,0.45454545454545453,0.3939393939393939,0.029325513196480968,0.029325513196480968,0.025415444770283513
ITEM-00107,25.0,0.04,0.507716,0.39666399999999996,28,0.03571428571428571,0.45331785714285716,0.35416428571428565,0.0042857142857142885,0.054398142857142784,0.04249971428571431
ITEM-00020,10.0,0.5,0.5,0.325,10,0.5,0.5,0.325,0.0,0.0,0.0
ITEM-00072,26.0,0.038461538461538464,0.6071038461538462,0.4019230769230769,28,0.03571428571428571,0.5756428571428571,0.37678571428571433,0.0027472527472527514,0.03146098901098904,0.025137362637362548
ITEM-00079,34.0,0.08823529411764706,0.5784352941176472,0.44485294117647056,34,0.08823529411764706,0.5784352941176472,0.44485294117647056,0.0,0.0,0.0
ITEM-00146,31.0,0.45161290322580644,0.7089129032258062,0.6612903225806451,33,0.42424242424242425,0.7013030303030303,0.6477272727272727,0.027370478983382185,0.007609872922775929,0.013563049853372422
ITEM-00071,18.0,0.05555555555555555,0.47962777777777776,0.4166666666666667,21,0.047619047619047616,0.4111095238095238,0.35714285714285715,0.007936507936507936,0.06851825396825395,0.059523809523809534
ITEM-00124,39.0,0.6666666666666666,0.6666666666666666,0.46153846153846156,43,0.6046511627906976,0.6046511627906976,0.4186046511627907,0.06201550387596899,0.06201550387596899,0.042933810375670844
ITEM-00034,8.0,0.875,0.875,0.78125,8,0.875,0.875,0.78125,0.0,0.0,0.0
ITEM-00052,15.0,0.0,0.5720600000000001,0.4444466666666667,15,0.0,0.57206,0.4444466666666667,0.0,1.1102230246251565e-16,0.0
ITEM-00089,19.0,0.05263157894736842,0.7062578947368422,0.5745684210526316,19,0.05263157894736842,0.7062578947368422,0.5745684210526316,0.0,0.0,0.0
ITEM-00049,43.0,0.4186046511627907,0.4186046511627907,0.3430232558139535,46,0.43478260869565216,0.43478260869565216,0.3532608695652174,-0.016177957532861442,-0.016177957532861442,-0.010237613751263919
ITEM-00069,24.0,0.041666666666666664,0.6301583333333333,0.46875,27,0.037037037037037035,0.5786592592592593,0.42284074074074074,0.004629629629629629,0.05149907407407395,0.04590925925925926
ITEM-00068,35.0,0.17142857142857143,0.5868114285714285,0.4928571428571429,37,0.16216216216216217,0.5686054054054055,0.47635135135135137,0.009266409266409259,0.018206023166023044,0.01650579150579151
ITEM-00102,35.0,0.22857142857142856,0.6742914285714287,0.6357142857142857,35,0.22857142857142856,0.6742914285714287,0.6357142857142857,0.0,0.0,0.0
ITEM-00082,15.0,0.2,0.6311200000000002,0.5916666666666667,16,0.1875,0.5916750000000001,0.5546875,0.012500000000000011,0.039445000000000174,0.036979166666666674
ITEM-00122,11.0,0.36363636363636365,0.36363636363636365,0.29545454545454547,11,0.36363636363636365,0.36363636363636365,0.29545454545454547,0.0,0.0,0.0
ITEM-00053,15.0,0.06666666666666667,0.5961933333333335,0.43888,17,0.058823529411764705,0.5260529411764706,0.3872470588235294,0.00784313725490196,0.07014039215686285,0.051632941176470604
ITEM-00013,15.0,0.8666666666666667,0.8666666666666667,0.8166666666666667,15,0.8666666666666667,0.8666666666666667,0.8166666666666667,0.0,0.0,0.0
ITEM-00061,18.0,0.2777777777777778,0.7677277777777778,0.8194444444444444,19,0.2631578947368421,0.7536368421052632,0.7960526315789473,0.0146198830409357,0.014090935672514626,0.023391812865497075
ITEM-00023,7.0,0.7142857142857143,0.7142857142857143,0.6428571428571429,8,0.625,0.625,0.5625,0.0892857142857143,0.0892857142857143,0.0803571428571429
ITEM-00078,64.0,0.046875,0.5110203125,0.392578125,66,0.045454545454545456,0.5015954545454545,0.38636363636363635,0.0014204545454545442,0.009424857954545507,0.0062144886363636465
ITEM-00012,12.0,0.9166666666666666,0.9166666666666666,0.7916666666666666,13,0.8461538461538461,0.8461538461538461,0.7307692307692307,0.07051282051282048,0.07051282051282048,0.0608974358974359
ITEM-00110,32.0,0.0,0.44494687499999996,0.43359375,32,0.0,0.444946875,0.43359375,0.0,-5.551115123125783e-17,0.0
ITEM-00137,33.0,0.15151515151515152,0.6516696969696969,0.6439393939393939,36,0.1388888888888889,0.6344027777777778,0.6145833333333334,0.012626262626262624,0.01726691919191914,0.029356060606060552
ITEM-00039,13.0,0.8461538461538461,0.8461538461538461,0.7692307692307693,13,0.8461538461538461,0.8461538461538461,0.7692307692307693,0.0,0.0,0.0
ITEM-00063,16.0,0.1875,0.547025,0.4609375,18,0.16666666666666666,0.4862444444444444,0.4097222222222222,0.020833333333333343,0.06078055555555556,0.05121527777777779
ITEM-00101,28.0,0.17857142857142858,0.5381035714285715,0.47767857142857145,30,0.16666666666666666,0.5022300000000001,0.44583333333333336,0.011904761904761918,0.035873571428571394,0.03184523809523809
ITEM-00091,28.0,0.25,0.5860571428571429,0.53125,30,0.23333333333333334,0.5803200000000001,0.5125,0.016666666666666663,0.005737142857142885,0.018750000000000044
ITEM-00145,29.0,0.034482758620689655,0.4829310344827587,0.43103448275862066,29,0.034482758620689655,0.48293103448275865,0.43103448275862066,0.0,5.551115123125783e-17,0.0
ITEM-00087,17.0,0.11764705882352941,0.6453764705882353,0.5686411764705882,17,0.11764705882352941,0.6453764705882353,0.5686411764705882,0.0,0.0,0.0
ITEM-00135,39.0,0.05128205128205128,0.4608051282051282,0.4326923076923077,39,0.05128205128205128,0.4608051282051282,0.4326923076923077,0.0,0.0,0.0
ITEM-00132,14.0,0.14285714285714285,0.6122500000000001,0.5,14,0.14285714285714285,0.6122500000000001,0.5,0.0,0.0,0.0
ITEM-00098,28.0,0.03571428571428571,0.5436214285714287,0.377975,31,0.03225806451612903,0.4910129032258065,0.34139677419354836,0.003456221198156681,0.052608525345622215,0.03657822580645165
ITEM-00025,4.0,0.5,0.5,0.25,4,0.5,0.5,0.25,0.0,0.0,0.0
ITEM-00104,27.0,0.9629629629629629,0.9629629629629629,0.8796296296296297,29,0.896551724137931,0.896551724137931,0.8189655172413793,0.06641123882503186,0.06641123882503186,0.06066411238825031
ITEM-00045,31.0,0.2903225806451613,0.2903225806451613,0.1935483870967742,34,0.2647058823529412,0.2647058823529412,0.17647058823529413,0.02561669829222013,0.02561669829222013,0.01707779886148006
ITEM-00058,22.0,0.045454545454545456,0.30000000000000004,0.2897727272727273,22,0.045454545454545456,0.30000000000000004,0.2897727272727273,0.0,0.0,0.0
ITEM-00029,6.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0
ITEM-00010,33.0,0.2727272727272727,0.7013060606060606,0.6439393939393939,35,0.2571428571428571,0.6612314285714286,0.6071428571428571,0.01558441558441559,0.04007463203463202,0.03679653679653683
ITEM-00144,31.0,0.45161290322580644,0.45161290322580644,0.3709677419354839,33,0.42424242424242425,0.42424242424242425,0.3484848484848485,0.027370478983382185,0.027370478983382185,0.022482893450635366
ITEM-00044,21.0,0.0,0.5698571428571431,0.4583333333333333,23,0.0,0.520304347826087,0.41847826086956524,0.0,0.04955279503105603,0.03985507246376807
ITEM-00131,14.0,0.07142857142857142,0.5765428571428571,0.5357142857142857,14,0.07142857142857142,0.5765428571428571,0.5357142857142857,0.0,0.0,0.0
ITEM-00080,35.0,0.0,0.4547342857142858,0.2767857142857143,38,0.0,0.4398868421052632,0.26151315789473684,0.0,0.014847443609022626,0.015272556390977465
ITEM-00030,8.0,0.5,0.5,0.4375,8,0.5,0.5,0.4375,0.0,0.0,0.0
ITEM-00042,22.0,0.18181818181818182,0.5759818181818182,0.4602272727272727,23,0.17391304347826086,0.5509391304347826,0.44021739130434784,0.007905138339920958,0.025042687747035552,0.02000988142292487
ITEM-00038,9.0,0.7777777777777778,0.7777777777777778,0.5833333333333334,9,0.7777777777777778,0.7777777777777778,0.5833333333333334,0.0,0.0,0.0
ITEM-00028,3.0,0.3333333333333333,0.3333333333333333,0.25,4,0.25,0.25,0.1875,0.08333333333333331,0.08333333333333331,0.0625
ITEM-00129,21.0,0.19047619047619047,0.4793666666666667,0.4107142857142857,21,0.19047619047619047,0.4793666666666667,0.4107142857142857,0.0,0.0,0.0
ITEM-00041,18.0,0.16666666666666666,0.16666666666666666,0.1388888888888889,18,0.16666666666666666,0.16666666666666666,0.1388888888888889,0.0,0.0,0.0
ITEM-00136,21.0,0.047619047619047616,0.6147380952380954,0.4801428571428571,25,0.04,0.57238,0.436652,0.007619047619047616,0.04235809523809542,0.04349085714285711
ITEM-00019,7.0,0.5714285714285714,0.5714285714285714,0.4642857142857143,7,0.5714285714285714,0.5714285714285714,0.4642857142857143,0.0,0.0,0.0
ITEM-00090,29.0,0.13793103448275862,0.6533758620689656,0.6336206896551724,30,0.13333333333333333,0.6315966666666667,0.6125,0.004597701149425287,0.02177919540229889,0.02112068965517233
ITEM-00014,8.0,0.875,0.875,0.75,8,0.875,0.875,0.75,0.0,0.0,0.0
ITEM-00056,11.0,0.2727272727272727,0.2727272727272727,0.25,11,0.2727272727272727,0.2727272727272727,0.25,0.0,0.0,0.0
ITEM-00126,17.0,0.0,0.3966411764705883,0.34558823529411764,18,0.0,0.40238333333333337,0.3402777777777778,0.0,-0.005742156862745096,0.00531045751633985
ITEM-00093,36.0,0.2222222222222222,0.6428611111111111,0.53125,40,0.2,0.5785750000000001,0.478125,0.0222222222222222,0.06428611111111104,0.05312499999999998
ITEM-00047,16.0,0.1875,0.6376437500000001,0.5104124999999999,17,0.23529411764705882,0.6589588235294118,0.5294058823529412,-0.04779411764705882,-0.021315073529411754,-0.018993382352941235
ITEM-00002,30.0,0.5333333333333333,0.5333333333333333,0.35833333333333334,31,0.5161290322580645,0.5161290322580645,0.3467741935483871,0.017204301075268824,0.017204301075268824,0.011559139784946215
ITEM-00134,34.0,0.20588235294117646,0.6754970588235294,0.5294117647058824,35,0.22857142857142856,0.6847685714285715,0.5357142857142857,-0.022689075630252103,-0.00927151260504211,-0.006302521008403339
ITEM-00059,12.0,0.75,0.75,0.6458333333333334,12,0.75,0.75,0.6458333333333334,0.0,0.0,0.0
ITEM-00054,15.0,0.06666666666666667,0.6188866666666667,0.45556,16,0.0625,0.6218750000000001,0.45313125,0.004166666666666666,-0.0029883333333333706,0.002428750000000035
ITEM-00075,29.0,0.10344827586206896,0.5886793103448277,0.5043103448275862,30,0.1,0.5690566666666667,0.4875,0.0034482758620689585,0.019622643678161023,0.0168103448275862
ITEM-00001,5.0,0.8,0.8,0.45,5,0.8,0.8,0.45,0.0,0.0,0.0
ITEM-00113,7.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.0,0.0
ITEM-00105,41.0,0.04878048780487805,0.5430317073170732,0.4004073170731707,44,0.045454545454545456,0.5060068181818183,0.3731068181818182,0.0033259423503325947,0.037024889135254924,0.027300498891352498
ITEM-00083,19.0,0.05263157894736842,0.5563947368421054,0.4407894736842105,20,0.05,0.553575,0.43125,0.0026315789473684154,0.002819736842105347,0.009539473684210487
ITEM-00074,14.0,0.7857142857142857,0.7857142857142857,0.6428571428571429,16,0.75,0.75,0.59375,0.0357142857142857,0.0357142857142857,0.049107142857142905
ITEM-00008,8.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0
ITEM-00128,17.0,0.17647058823529413,0.5980470588235295,0.5514705882352942,18,0.16666666666666666,0.6018611111111112,0.5486111111111112,0.009803921568627472,-0.003814052287581693,0.0028594771241829964
ITEM-00055,18.0,0.05555555555555555,0.6806833333333332,0.5451388888888888,19,0.05263157894736842,0.6448578947368421,0.5164473684210527,0.0029239766081871343,0.03582543859649112,0.028691520467836185
ITEM-00062,10.0,0.8,0.8,0.75,11,0.7272727272727273,0.7272727272727273,0.6818181818181818,0.07272727272727275,0.07272727272727275,0.06818181818181823
ITEM-00114,9.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,9,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
