题目编号,情绪标签,是否标准标签,选择人次,选择者同能力其余题均分,抽中人数,选择率
ITEM-00001,平静,False,1,0.4,5,0.2
ITEM-00001,震惊,True,4,0.2833333333333333,5,0.8
ITEM-00002,内疚,False,2,0.07142857142857142,30,0.06666666666666667
ITEM-00002,平静,False,1,0.14285714285714285,30,0.03333333333333333
ITEM-00002,悲伤,False,1,0.2857142857142857,30,0.03333333333333333
ITEM-00002,愁闷,False,2,0.21428571428571427,30,0.06666666666666667
ITEM-00002,感动,True,16,0.1875,30,0.5333333333333333
ITEM-00002,感激,False,3,0.09523809523809523,30,0.1
ITEM-00002,担忧,False,1,0.14285714285714285,30,0.03333333333333333
ITEM-00002,渴望,False,1,0.0,30,0.03333333333333333
ITEM-00002,爱,False,2,0.0,30,0.06666666666666667
ITEM-00002,痛苦,False,1,0.2857142857142857,30,0.03333333333333333
ITEM-00003,好奇,False,1,0.13333333333333333,3,0.3333333333333333
ITEM-00003,遗憾,True,2,0.16666666666666666,3,0.6666666666666666
ITEM-00004,冷静,False,1,0.14285714285714285,34,0.029411764705882353
ITEM-00004,审美欣赏,False,1,0.14285714285714285,34,0.029411764705882353
ITEM-00004,尴尬,True,26,0.2032967032967033,34,0.7647058823529411
ITEM-00004,平静,False,1,0.0,34,0.029411764705882353
ITEM-00004,怀旧,False,1,0.14285714285714285,34,0.029411764705882353
ITEM-00004,渴望,False,1,0.14285714285714285,34,0.029411764705882353
ITEM-00004,遗憾,False,1,0.14285714285714285,34,0.029411764705882353
ITEM-00004,释然,False,1,0.0,34,0.029411764705882353
ITEM-00004,震惊,False,1,0.0,34,0.029411764705882353
ITEM-00005,好奇,False,1,0.4,8,0.125
ITEM-00005,审美欣赏,True,4,0.23333333333333334,8,0.5
ITEM-00005,尴尬,False,1,0.13333333333333333,8,0.125
ITEM-00005,惊讶,False,1,0.13333333333333333,8,0.125
ITEM-00005,渴望,False,1,0.3333333333333333,8,0.125
ITEM-00006,失望,False,1,0.26666666666666666,6,0.16666666666666666
ITEM-00006,紧张,True,5,0.18666666666666668,6,0.8333333333333334
ITEM-00007,不屑,False,1,0.06666666666666667,13,0.07692307692307693
ITEM-00007,共情痛苦,False,2,0.23333333333333334,13,0.15384615384615385
ITEM-00007,困惑,False,1,0.3333333333333333,13,0.07692307692307693
ITEM-00007,好奇,False,1,0.13333333333333333,13,0.07692307692307693
ITEM-00007,恐惧,False,1,0.3333333333333333,13,0.07692307692307693
ITEM-00007,惊讶,True,2,0.3666666666666667,13,0.15384615384615385
ITEM-00007,愁闷,False,1,0.2,13,0.07692307692307693
ITEM-00007,担忧,False,1,0.2,13,0.07692307692307693
ITEM-00007,焦虑,False,1,0.4,13,0.07692307692307693
ITEM-00007,痛苦,False,2,0.3,13,0.15384615384615385
ITEM-00008,共情痛苦,False,1,0.3333333333333333,8,0.125
ITEM-00008,兴奋,False,1,0.26666666666666666,8,0.125
ITEM-00008,兴趣,False,1,0.06666666666666667,8,0.125
ITEM-00008,内疚,False,1,0.26666666666666666,8,0.125
ITEM-00008,希望,False,1,0.3333333333333333,8,0.125
ITEM-00008,悲伤,False,1,0.2,8,0.125
ITEM-00008,感动,False,1,0.26666666666666666,8,0.125
ITEM-00008,绝望,False,1,0.4,8,0.125
ITEM-00009,兴奋,False,5,0.27999999999999997,35,0.14285714285714285
ITEM-00009,兴趣,False,1,0.3333333333333333,35,0.02857142857142857
ITEM-00009,冷静,False,1,0.4,35,0.02857142857142857
ITEM-00009,好奇,False,1,0.3333333333333333,35,0.02857142857142857
ITEM-00009,快乐,False,2,0.16666666666666669,35,0.05714285714285714
ITEM-00009,惊喜,False,2,0.3333333333333333,35,0.05714285714285714
ITEM-00009,惊讶,False,2,0.23333333333333334,35,0.05714285714285714
ITEM-00009,愉悦,False,2,0.33333333333333337,35,0.05714285714285714
ITEM-00009,担忧,False,2,0.23333333333333334,35,0.05714285714285714
ITEM-00009,烦躁,False,1,0.3333333333333333,35,0.02857142857142857
ITEM-00009,紧张,True,14,0.24761904761904763,35,0.4
ITEM-00009,轻松,False,1,0.26666666666666666,35,0.02857142857142857
ITEM-00009,释然,False,1,0.26666666666666666,35,0.02857142857142857
ITEM-00010,兴奋,True,27,0.28148148148148144,33,0.8181818181818182
ITEM-00010,兴趣,False,4,0.3666666666666667,33,0.12121212121212122
ITEM-00010,内疚,False,1,0.2,33,0.030303030303030304
ITEM-00010,平静,False,1,0.13333333333333333,33,0.030303030303030304
ITEM-00010,快乐,False,3,0.24444444444444446,33,0.09090909090909091
ITEM-00010,惊喜,True,25,0.29600000000000004,33,0.7575757575757576
ITEM-00010,惊讶,False,2,0.33333333333333337,33,0.06060606060606061
ITEM-00010,愉悦,False,5,0.3333333333333333,33,0.15151515151515152
ITEM-00010,感动,False,1,0.3333333333333333,33,0.030303030303030304
ITEM-00010,感激,False,1,0.13333333333333333,33,0.030303030303030304
ITEM-00010,渴望,False,3,0.17777777777777778,33,0.09090909090909091
ITEM-00010,满足,False,3,0.22222222222222224,33,0.09090909090909091
ITEM-00010,自满,False,1,0.4,33,0.030303030303030304
ITEM-00010,自豪,False,2,0.3666666666666667,33,0.06060606060606061
ITEM-00010,轻松,False,1,0.2,33,0.030303030303030304
ITEM-00010,释然,False,1,0.2,33,0.030303030303030304
ITEM-00010,震惊,False,2,0.3666666666666667,33,0.06060606060606061
ITEM-00011,平静,False,1,0.4,10,0.1
ITEM-00011,担忧,True,9,0.3037037037037037,10,0.9
ITEM-00012,悲伤,False,1,0.06666666666666667,12,0.08333333333333333
ITEM-00012,愤怒,True,11,0.3090909090909091,12,0.9166666666666666
ITEM-00013,怨恨,False,2,0.2,15,0.13333333333333333
ITEM-00013,愤怒,True,13,0.3230769230769231,15,0.8666666666666667
ITEM-00014,崇拜,True,7,0.2857142857142857,8,0.875
ITEM-00014,愉悦,False,1,0.06666666666666667,8,0.125
ITEM-00015,悲伤,False,1,0.26666666666666666,6,0.16666666666666666
ITEM-00015,焦虑,False,1,0.2,6,0.16666666666666666
ITEM-00015,痛苦,False,1,0.3333333333333333,6,0.16666666666666666
ITEM-00015,紧张,False,1,0.2,6,0.16666666666666666
ITEM-00015,绝望,True,1,0.26666666666666666,6,0.16666666666666666
ITEM-00015,释然,False,1,0.2,6,0.16666666666666666
ITEM-00016,不屑,True,6,0.25555555555555554,8,0.75
ITEM-00016,兴奋,False,1,0.5333333333333333,8,0.125
ITEM-00016,蔑视,False,1,0.2,8,0.125
ITEM-00017,愤怒,True,5,0.24,6,0.8333333333333334
ITEM-00017,敌意,False,1,0.2,6,0.16666666666666666
ITEM-00018,共情痛苦,True,5,0.2,6,0.8333333333333334
ITEM-00018,悲伤,False,1,0.3333333333333333,6,0.16666666666666666
ITEM-00019,厌倦,False,1,0.06666666666666667,7,0.14285714285714285
ITEM-00019,愁闷,False,2,0.33333333333333337,7,0.2857142857142857
ITEM-00019,烦躁,True,4,0.26666666666666666,7,0.5714285714285714
ITEM-00020,困惑,False,1,0.26666666666666666,10,0.1
ITEM-00020,尴尬,True,5,0.37333333333333335,10,0.5
ITEM-00020,愁闷,False,1,0.4666666666666667,10,0.1
ITEM-00020,紧张,False,1,0.26666666666666666,10,0.1
ITEM-00020,自满,False,1,0.3333333333333333,10,0.1
ITEM-00020,震惊,False,1,0.13333333333333333,10,0.1
ITEM-00021,兴趣,False,1,0.3333333333333333,6,0.16666666666666666
ITEM-00021,快乐,False,1,0.2,6,0.16666666666666666
ITEM-00021,怀旧,True,1,0.26666666666666666,6,0.16666666666666666
ITEM-00021,惊喜,False,1,0.13333333333333333,6,0.16666666666666666
ITEM-00021,愁闷,False,1,0.2,6,0.16666666666666666
ITEM-00021,感动,False,1,0.2,6,0.16666666666666666
ITEM-00022,困惑,False,1,0.13333333333333333,9,0.1111111111111111
ITEM-00022,恐惧,False,1,0.13333333333333333,9,0.1111111111111111
ITEM-00022,惊讶,False,1,0.26666666666666666,9,0.1111111111111111
ITEM-00022,震惊,True,6,0.22222222222222224,9,0.6666666666666666
ITEM-00023,困惑,False,1,0.4,7,0.14285714285714285
ITEM-00023,敌意,True,5,0.27999999999999997,7,0.7142857142857143
ITEM-00023,震惊,False,1,0.2,7,0.14285714285714285
ITEM-00024,不屑,False,1,0.2,3,0.3333333333333333
ITEM-00024,抑郁,False,1,0.26666666666666666,3,0.3333333333333333
ITEM-00024,紧张,True,1,0.26666666666666666,3,0.3333333333333333
ITEM-00025,怀旧,False,1,0.2,4,0.25
