题目编号,情绪标签,强度1级人次,强度2级人次,强度3级人次,强度4级人次,强度5级人次
ITEM-00001,平静,0,0,0,1,0
ITEM-00001,震惊,0,0,0,1,3
ITEM-00002,内疚,0,0,1,0,1
ITEM-00002,平静,0,0,0,0,1
ITEM-00002,悲伤,0,0,1,0,0
ITEM-00002,愁闷,0,0,0,2,0
ITEM-00002,感动,0,0,1,9,6
ITEM-00002,感激,0,0,0,1,2
ITEM-00002,担忧,0,0,0,0,1
ITEM-00002,渴望,0,0,0,1,0
ITEM-00002,爱,0,0,0,1,1
ITEM-00002,痛苦,0,0,0,1,0
ITEM-00003,好奇,0,0,0,1,0
ITEM-00003,遗憾,0,0,0,2,0
ITEM-00004,冷静,0,0,0,0,1
ITEM-00004,审美欣赏,0,0,0,0,1
ITEM-00004,尴尬,0,0,2,17,7
ITEM-00004,平静,0,0,0,1,0
ITEM-00004,怀旧,0,0,0,1,0
ITEM-00004,渴望,0,0,1,0,0
ITEM-00004,遗憾,0,0,0,1,0
ITEM-00004,释然,0,0,1,0,0
ITEM-00004,震惊,0,0,1,0,0
ITEM-00005,好奇,0,0,0,0,1
ITEM-00005,审美欣赏,0,0,0,1,3
ITEM-00005,尴尬,0,0,0,1,0
ITEM-00005,惊讶,0,0,0,1,0
ITEM-00005,渴望,0,0,0,1,0
ITEM-00006,失望,0,0,0,1,0
ITEM-00006,紧张,0,0,1,2,2
ITEM-00007,不屑,0,0,1,0,0
ITEM-00007,共情痛苦,0,0,1,1,0
ITEM-00007,困惑,0,0,0,0,1
ITEM-00007,好奇,0,0,0,1,0
ITEM-00007,恐惧,0,1,0,0,0
ITEM-00007,惊讶,0,0,1,1,0
ITEM-00007,愁闷,0,0,0,1,0
ITEM-00007,担忧,0,0,0,1,0
ITEM-00007,焦虑,0,0,0,1,0
ITEM-00007,痛苦,0,0,0,1,1
ITEM-00008,共情痛苦,0,0,0,1,0
ITEM-00008,兴奋,0,0,1,0,0
ITEM-00008,兴趣,0,0,0,1,0
ITEM-00008,内疚,0,0,0,1,0
ITEM-00008,希望,0,0,1,0,0
ITEM-00008,悲伤,0,1,0,0,0
ITEM-00008,感动,0,0,1,0,0
ITEM-00008,绝望,0,0,1,0,0
ITEM-00009,兴奋,0,0,1,4,0
ITEM-00009,兴趣,0,0,1,0,0
ITEM-00009,冷静,0,0,0,1,0
ITEM-00009,好奇,0,1,0,0,0
ITEM-00009,快乐,0,0,1,0,1
ITEM-00009,惊喜,0,0,1,1,0
ITEM-00009,惊讶,0,0,1,1,0
ITEM-00009,愉悦,0,0,0,2,0
ITEM-00009,担忧,0,0,0,2,0
ITEM-00009,烦躁,0,1,0,0,0
ITEM-00009,紧张,0,0,4,8,2
ITEM-00009,轻松,0,0,0,0,1
ITEM-00009,释然,0,0,0,1,0
ITEM-00010,兴奋,0,2,3,13,9
ITEM-00010,兴趣,0,0,2,0,2
ITEM-00010,内疚,0,0,1,0,0
ITEM-00010,平静,0,0,0,1,0
ITEM-00010,快乐,0,0,0,2,1
ITEM-00010,惊喜,0,1,2,4,18
ITEM-00010,惊讶,0,0,1,1,0
ITEM-00010,愉悦,0,0,2,3,0
ITEM-00010,感动,0,0,0,1,0
ITEM-00010,感激,0,0,1,0,0
ITEM-00010,渴望,0,0,0,2,1
ITEM-00010,满足,0,0,2,1,0
ITEM-00010,自满,0,0,0,0,1
ITEM-00010,自豪,0,0,1,1,0
ITEM-00010,轻松,0,0,0,1,0
ITEM-00010,释然,0,1,0,0,0
ITEM-00010,震惊,0,0,0,1,1
ITEM-00011,平静,0,0,1,0,0
ITEM-00011,担忧,0,1,1,6,1
ITEM-00012,悲伤,0,0,0,1,0
ITEM-00012,愤怒,0,1,1,6,3
ITEM-00013,怨恨,0,0,0,1,1
ITEM-00013,愤怒,0,0,0,3,10
ITEM-00014,崇拜,0,0,1,2,4
ITEM-00014,愉悦,0,0,0,0,1
ITEM-00015,悲伤,0,0,0,0,1
ITEM-00015,焦虑,0,0,0,1,0
ITEM-00015,痛苦,0,0,0,0,1
ITEM-00015,紧张,0,0,0,1,0
ITEM-00015,绝望,0,0,0,0,1
ITEM-00015,释然,0,0,0,0,1
ITEM-00016,不屑,0,0,1,3,2
ITEM-00016,兴奋,0,0,1,0,0
ITEM-00016,蔑视,0,0,0,1,0
ITEM-00017,愤怒,0,0,0,3,2
ITEM-00017,敌意,0,0,1,0,0
ITEM-00018,共情痛苦,0,0,0,2,3
ITEM-00018,悲伤,0,0,0,0,1
ITEM-00019,厌倦,0,0,0,1,0
ITEM-00019,愁闷,0,0,1,1,0
ITEM-00019,烦躁,0,0,1,1,2
ITEM-00020,困惑,0,0,0,0,1
ITEM-00020,尴尬,0,0,0,3,2
ITEM-00020,愁闷,0,0,0,1,0
ITEM-00020,紧张,0,0,0,1,0
ITEM-00020,自满,0,0,0,0,1
ITEM-00020,震惊,0,0,0,1,0
ITEM-00021,兴趣,0,0,0,1,0
ITEM-00021,快乐,0,0,0,1,0
ITEM-00021,怀旧,0,0,0,0,1
ITEM-00021,惊喜,0,0,1,0,0
ITEM-00021,愁闷,0,0,1,0,0
ITEM-00021,感动,0,0,0,1,0
ITEM-00022,困惑,0,0,0,0,1
ITEM-00022,恐惧,0,0,0,1,0
ITEM-00022,惊讶,0,0,0,1,0
ITEM-00022,震惊,0,0,1,4,1
ITEM-00023,困惑,0,0,0,0,1
ITEM-00023,敌意,0,0,2,3,0
ITEM-00023,震惊,0,0,1,0,0
ITEM-00024,不屑,0,0,0,1,0
ITEM-00024,抑郁,0,0,0,1,0
ITEM-00024,紧张,0,0,0,0,1
ITEM-00025,怀旧,0,0,1,0,0
ITEM-00025,感动,0,0,0,0,1
ITEM-00025,痛苦,0,0,0,0,2
ITEM-00026,悲伤,0,0,0,3,2
ITEM-00026,抑郁,0,0,0,1,0
ITEM-00026,渴望,0,0,0,0,1
ITEM-00026,遗憾,0,0,0,1,0
ITEM-00027,好奇,0,0,2,0,0
ITEM-00027,快乐,0,0,0,2,2
ITEM-00027,愉悦,0,0,0,0,1
ITEM-00027,轻松,0,0,1,0,0
ITEM-00028,希望,0,0,0,1,0
ITEM-00028,悲伤,0,0,0,0,1
ITEM-00028,痛苦,0,0,0,0,1
ITEM-00029,共情痛苦,0,1,0,1,0
ITEM-00029,委屈,0,0,0,1,0
ITEM-00029,焦虑,0,0,0,0,1
ITEM-00029,痛苦,0,0,1,0,1
ITEM-00030,困惑,0,0,1,2,1
ITEM-00030,失望,0,0,0,1,0
ITEM-00030,委屈,0,0,0,1,0
ITEM-00030,审美欣赏,0,0,1,0,0
ITEM-00030,怀旧,0,1,0,0,0
ITEM-00032,兴趣,0,0,0,1,0
ITEM-00032,平静,0,0,0,1,0
ITEM-00032,愉悦,0,0,1,1,0
ITEM-00032,满足,0,0,0,1,0
ITEM-00033,惊讶,0,0,1,3,1
ITEM-00033,震惊,0,0,1,2,1
ITEM-00034,希望,0,0,0,0,1
ITEM-00034,爱,0,0,0,3,4
ITEM-00035,恐惧,0,0,0,0,1
ITEM-00035,惊讶,0,0,0,0,1
ITEM-00035,震惊,0,0,0,0,1
ITEM-00036,兴趣,0,0,1,0,0
ITEM-00036,困惑,1,0,0,0,0
ITEM-00036,担忧,0,0,1,1,0
ITEM-00036,敌意,0,0,0,1,0
ITEM-00036,释然,0,0,0,1,0
ITEM-00036,震惊,0,0,1,0,0
ITEM-00037,不屑,0,0,0,1,0
ITEM-00037,冷静,0,0,0,1,0
ITEM-00037,烦躁,0,0,1,0,0
ITEM-00037,绝望,0,0,0,1,0
ITEM-00037,蔑视,0,0,0,5,5
ITEM-00038,烦躁,0,0,0,1,0
ITEM-00038,自满,0,0,2,3,2
ITEM-00038,自豪,0,0,0,1,0
ITEM-00039,愁闷,0,0,0,0,1
ITEM-00039,焦虑,0,0,0,1,0
ITEM-00039,痛苦,0,0,0,7,4
ITEM-00040,委屈,0,0,0,0,1
ITEM-00040,怨恨,0,0,1,1,8
ITEM-00040,愤怒,0,0,0,1,3
ITEM-00040,敌意,0,0,0,1,0
ITEM-00041,不屑,0,0,0,1,0
ITEM-00041,委屈,0,0,0,1,0
ITEM-00041,嫉妒,0,0,0,2,1
ITEM-00041,怨恨,0,1,1,0,0
ITEM-00041,愁闷,0,0,0,0,1
ITEM-00041,愤怒,0,0,1,0,0
ITEM-00041,烦躁,0,1,0,0,0
ITEM-00041,绝望,0,0,0,0,1
ITEM-00041,自满,0,0,2,1,0
ITEM-00041,蔑视,0,0,0,1,0
ITEM-00041,遗憾,0,0,0,2,1
ITEM-00042,共情痛苦,0,0,1,1,0
ITEM-00042,冷静,0,0,1,1,0
ITEM-00042,困惑,0,0,0,0,1
ITEM-00042,失望,0,0,0,2,0
ITEM-00042,委屈,0,1,2,8,3
ITEM-00042,审美欣赏,0,1,0,0,0
