题目编号,有效作答人数,平均强度匹配得分,强度匹配得分标准差,强度匹配得分中位数,平均作答时间（秒）,情绪强度评定数,标签级平均强度,标签级强度标准差,标签级强度中位数,强度下四分位数,强度上四分位数,强度地板比例,强度天花板比例,标签级标准化平均强度,被试级有效人数,被试级平均强度,被试级强度标准差,非标准情绪平均强度,标准情绪平均强度,题目标题,素材模态,能力类型,选项形式,每卷组合配额,组合题库数,期望作答人数,实际期望比,抽题组合
ITEM-00001,5,0.45,0.27386127875258304,0.5,33.89,5,4.6,0.547722557505166,5.0,4.0,5.0,0.0,0.6,0.9,5,4.6,0.547722557505166,4.0,4.75,3,视频,情绪识别,单选题,1,19,6.7368421052631575,0.7421875,视频 / 单选题 / 情绪识别
ITEM-00002,30,0.35833333333333334,0.35769456565462465,0.5,43.417,30,4.3,0.651258728182957,4.0,4.0,5.0,0.0,0.4,0.825,30,4.3,0.6512587281829573,4.285714285714286,4.3125,6,视频,情绪推理,单选题,1,4,32.0,0.9375,视频 / 单选题 / 情绪推理
ITEM-00003,3,0.5,0.4330127018922193,0.75,39.93333333333333,3,4.0,0.0,4.0,4.0,4.0,0.0,0.0,0.75,3,4.0,0.0,4.0,4.0,21,视频,情绪识别,单选题,1,19,6.7368421052631575,0.4453125,视频 / 单选题 / 情绪识别
ITEM-00004,34,0.5367647058823529,0.32643826822081046,0.75,29.436764705882354,34,4.117647058823529,0.6402985043618769,4.0,4.0,4.75,0.0,0.2647058823529412,0.7794117647058824,34,4.117647058823529,0.6402985043618772,3.875,4.1923076923076925,62,视频,情绪推理,单选题,1,4,32.0,1.0625,视频 / 单选题 / 情绪推理
ITEM-00005,8,0.46875,0.5077524002897476,0.375,32.99625,8,4.5,0.5345224838248486,4.5,4.0,5.0,0.0,0.5,0.875,8,4.5,0.5345224838248488,4.25,4.75,70,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00006,6,0.5833333333333334,0.3415650255319866,0.625,18.276666666666667,6,4.166666666666667,0.7527726527090811,4.0,4.0,4.75,0.0,0.3333333333333333,0.7916666666666666,6,4.166666666666667,0.752772652709081,4.0,4.2,28,图像,情绪识别,单选题,2,28,9.142857142857142,0.65625,图像 / 单选题 / 情绪识别
ITEM-00007,13,0.1346153846153846,0.33253108588058816,0.0,17.256153846153843,13,3.769230769230769,0.8320502943378438,4.0,3.0,4.0,0.0,0.15384615384615385,0.6923076923076923,13,3.769230769230769,0.8320502943378436,3.8181818181818183,3.5,29,图像,情绪识别,单选题,2,28,9.142857142857142,1.421875,图像 / 单选题 / 情绪识别
ITEM-00008,8,0.0,0.0,0.0,24.995,8,3.25,0.7071067811865476,3.0,3.0,4.0,0.0,0.0,0.5625,8,3.25,0.7071067811865476,3.25,,30,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00009,35,0.21428571428571427,0.2853201062407101,0.0,29.168857142857142,35,3.742857142857143,0.7413365173339118,4.0,3.0,4.0,0.0,0.11428571428571428,0.6857142857142857,35,3.742857142857143,0.7413365173339117,3.6666666666666665,3.857142857142857,7,音频,情绪识别,单选题,2,7,36.57142857142857,0.95703125,音频 / 单选题 / 情绪识别
ITEM-00010,33,0.6439393939393939,0.25602355108880354,0.75,20.94393939393939,83,4.120481927710843,0.875097072823656,4.0,4.0,5.0,0.0,0.39759036144578314,0.7801204819277109,33,4.007070707070707,0.8080544010047621,3.806451612903226,4.3076923076923075,63,文本,情绪识别,多选题,3,12,32.0,1.03125,文本 / 多选题 / 情绪识别
ITEM-00011,10,0.8,0.32914029430219166,1.0,23.837,10,3.7,0.8232726023485645,4.0,3.25,4.0,0.0,0.1,0.675,10,3.7,0.8232726023485646,3.0,3.7777777777777777,25,图像,情绪识别,单选题,2,28,9.142857142857142,1.09375,图像 / 单选题 / 情绪识别
ITEM-00012,12,0.7916666666666666,0.29835407071992753,0.875,17.105,12,4.0,0.8528028654224418,4.0,4.0,4.25,0.0,0.25,0.75,12,4.0,0.8528028654224418,4.0,4.0,26,图像,情绪识别,单选题,2,28,9.142857142857142,1.3125,图像 / 单选题 / 情绪识别
ITEM-00013,15,0.8166666666666667,0.34675365209049386,1.0,13.25,15,4.733333333333333,0.45773770821706355,5.0,4.5,5.0,0.0,0.7333333333333333,0.9333333333333333,15,4.733333333333333,0.45773770821706355,4.5,4.769230769230769,27,图像,情绪识别,单选题,2,28,9.142857142857142,1.640625,图像 / 单选题 / 情绪识别
ITEM-00014,8,0.75,0.3535533905932738,0.875,40.4025,8,4.5,0.7559289460184545,5.0,4.0,5.0,0.0,0.625,0.875,8,4.5,0.7559289460184544,5.0,4.428571428571429,1,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00015,6,0.125,0.30618621784789724,0.0,47.055,6,4.666666666666667,0.5163977794943224,5.0,4.25,5.0,0.0,0.6666666666666666,0.9166666666666666,6,4.666666666666667,0.5163977794943223,4.6,5.0,4,视频,情绪识别,单选题,1,19,6.7368421052631575,0.890625,视频 / 单选题 / 情绪识别
ITEM-00016,8,0.65625,0.4212545040030517,0.75,55.5125,8,4.0,0.7559289460184544,4.0,3.75,4.25,0.0,0.25,0.75,8,4.0,0.7559289460184544,3.5,4.166666666666667,9,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00017,6,0.7083333333333334,0.3679900360969936,0.75,36.089999999999996,6,4.166666666666667,0.7527726527090811,4.0,4.0,4.75,0.0,0.3333333333333333,0.7916666666666666,6,4.166666666666667,0.752772652709081,3.0,4.4,10,视频,情绪识别,单选题,1,19,6.7368421052631575,0.890625,视频 / 单选题 / 情绪识别
ITEM-00018,6,0.75,0.3872983346207417,0.875,28.406666666666666,6,4.666666666666667,0.5163977794943223,5.0,4.25,5.0,0.0,0.6666666666666666,0.9166666666666666,6,4.666666666666667,0.5163977794943221,5.0,4.6,11,视频,情绪识别,单选题,1,19,6.7368421052631575,0.890625,视频 / 单选题 / 情绪识别
ITEM-00019,7,0.4642857142857143,0.4432026302139591,0.75,27.93,7,4.0,0.816496580927726,4.0,3.5,4.5,0.0,0.2857142857142857,0.75,7,4.0,0.816496580927726,3.6666666666666665,4.25,12,视频,情绪识别,单选题,1,19,6.7368421052631575,1.0390625,视频 / 单选题 / 情绪识别
ITEM-00020,10,0.325,0.3545341231030441,0.25,40.983,10,4.4,0.5163977794943222,4.0,4.0,5.0,0.0,0.4,0.85,10,4.4,0.5163977794943222,4.4,4.4,13,视频,情绪识别,单选题,1,19,6.7368421052631575,1.484375,视频 / 单选题 / 情绪识别
ITEM-00021,6,0.125,0.30618621784789724,0.0,54.96,6,3.8333333333333335,0.752772652709081,4.0,3.25,4.0,0.0,0.16666666666666666,0.7083333333333334,6,3.8333333333333335,0.752772652709081,3.6,5.0,14,视频,情绪识别,单选题,1,19,6.7368421052631575,0.890625,视频 / 单选题 / 情绪识别
