题目编号,有效作答人数,严格完全识别率,完全识别率95%区间下限,完全识别率95%区间上限,平均部分标签得分,平均标签召回率,平均标签准确率,平均Jaccard相似度,平均非标准标签误选率,同能力校正题总相关,高低27%组D值,平均作答时间（秒）,作答时间中位数（秒）,题目标题,素材模态,能力类型,选项形式,每卷组合配额,组合题库数,期望作答人数,实际期望比,抽题组合,最高频选择,最高频选择率,标准情绪,最高频选择是否为标准情绪,统计初筛建议,专家复核结论,最终决策,复核备注
ITEM-00086,51.0,0.23529411764705882,0.14004948775982248,0.3676222527305,0.6745215686274509,0.7058823529411765,0.7156862745098039,0.5702614379084967,0.28431372549019607,0.2615831804344947,0.15384615384615385,30.95509803921568,26.08,79,音频,情绪推理,多选题,2,6,42.666666666666664,1.1953125,音频 / 多选题 / 情绪推理,烦躁,0.8431372549019608,烦躁｜厌倦,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00121,14.0,0.7142857142857143,0.45350915474002584,0.8827862143729825,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.19364916731037093,0.33333333333333337,17.542857142857144,11.989999999999998,106,图像,情绪识别,单选题,2,28,9.142857142857142,1.53125,图像 / 单选题 / 情绪识别,惊讶,0.7142857142857143,惊讶,True,需要补充样本后再判断,待填写,待填写,待填写
ITEM-00076,24.0,0.0,0.0,0.13797620655132792,0.3696458333333334,0.3958333333333333,0.3951388888888889,0.26458333333333334,0.6048611111111111,,0.0,32.67875,28.975,78,音频,情绪识别,多选题,2,9,28.444444444444443,0.84375,音频 / 多选题 / 情绪识别,烦躁,0.6666666666666666,羞耻｜烦躁,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00088,24.0,0.375,0.21159367459047676,0.5729003770473553,0.8678458333333333,0.8229166666666666,0.9611111111111109,0.7937499999999998,0.03888888888888889,0.21461125751550034,0.16666666666666669,42.43583333333333,36.945,81,视频,情绪识别,多选题,2,13,19.692307692307693,1.21875,视频 / 多选题 / 情绪识别,兴奋,0.9166666666666666,快乐｜惊喜｜兴奋｜爱,True,暂时保留,待填写,待填写,待填写
ITEM-00109,49.0,0.061224489795918366,0.02104014650911014,0.16520487945438622,0.4174000000000001,0.4489795918367347,0.4224489795918367,0.3180272108843537,0.5775510204081633,-0.00802643703183297,0.0,58.04775510204081,59.78,88,音频,情绪推理,多选题,2,6,42.666666666666664,1.1484375,音频 / 多选题 / 情绪推理,厌倦,0.5510204081632653,厌倦｜困惑,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
ITEM-00150,38.0,0.18421052631578946,0.0922176513511272,0.334188582043175,0.32807368421052635,0.32894736842105265,0.3464912280701754,0.2894736842105263,0.6535087719298245,0.30768714525736757,0.2,43.74473684210527,38.855000000000004,86,视频,情绪推理,多选题,2,8,32.0,1.1875,视频 / 多选题 / 情绪推理,满足,0.34210526315789475,满足｜快乐,True,可能为困难题；内容确认后保留,待填写,待填写,待填写
ITEM-00141,48.0,0.08333333333333333,0.032883756589523014,0.1955330190342106,0.5491166666666666,0.5520833333333334,0.6166666666666667,0.42326388888888883,0.3833333333333333,0.16203298533694632,0.08333333333333333,55.72791666666666,50.665,67,文本,情绪推理,多选题,1,3,42.666666666666664,1.125,文本 / 多选题 / 情绪推理,愤怒,0.7708333333333334,愤怒｜惊讶,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00040,16.0,0.625,0.38641040376611335,0.8151876754845355,0.625,0.625,0.625,0.625,0.375,0.0439233474380173,0.0,20.036250000000003,14.1,53,文本,情绪识别,单选题,1,10,12.8,1.25,文本 / 单选题 / 情绪识别,怨恨,0.625,怨恨,True,低区分度：内容审查并考虑补测,待填写,待填写,待填写
ITEM-00043,17.0,0.0,-1.3877787807814457e-17,0.18431813738065556,0.4733823529411764,0.36764705882352944,0.7647058823529411,0.31862745098039214,0.23529411764705882,,0.0,39.72176470588235,30.72,65,视频,情绪识别,多选题,2,13,19.692307692307693,0.86328125,视频 / 多选题 / 情绪识别,遗憾,0.8823529411764706,怀旧｜感动｜愉悦｜遗憾,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00096,40.0,0.15,0.07061187676107432,0.29072324495985025,0.6550100000000001,0.75,0.6620833333333334,0.5287499999999999,0.33791666666666664,0.14529040997461112,0.1,24.4685,21.509999999999998,74,文本,情绪识别,多选题,3,12,32.0,1.25,文本 / 多选题 / 情绪识别,愉悦,0.775,审美欣赏｜愉悦,True,修改后补测；结合选项分布与专家复核,待填写,待填写,待填写
ITEM-00070,37.0,0.16216216216216217,0.0765120718936846,0.3113648383640646,0.6348837837837837,0.6891891891891891,0.649099099099099,0.5094594594594595,0.35090090090090087,-0.016039597821921648,-0.1111111111111111,26.86108108108108,21.76,119,文本,情绪识别,多选题,3,12,32.0,1.15625,文本 / 多选题 / 情绪识别,困惑,0.7837837837837838,困惑｜痛苦,True,负相关复核：同时检查样本、维度、答案键与题意,待填写,待填写,待填写
