题目编号,题目标题,素材模态,能力类型,选项形式,有效作答人数,严格完全识别率,平均部分标签得分,平均标签召回率,平均标签准确率,平均非标准标签误选率,同能力校正题总相关,高低27%组D值,平均强度匹配得分,被试级平均强度,最大敏感性差值,统计预警项数,统计预警原因,统计初筛建议
判别参考,,,,,≥15,<0.25预警（多选须结合部分得分）,,,,,≥0.15,≥0.20,,,<0.10,越少越好,,统计初筛，须内容复核
ITEM-00046,89,图像,情绪识别,多选题,12.0,0.0,0.5531833333333332,0.625,0.5750000000000001,0.425,,0.0,0.4791666666666667,3.9791666666666665,0.12348333333333322,5,样本量<15；严格完全识别率<0.25；校正题总相关不可计算；D值<0.20；敏感性差值≥0.10,需要补充样本后再判断
ITEM-00003,21,视频,情绪识别,单选题,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.0,0.5,4.0,0.16666666666666663,4,样本量<15；校正题总相关不可计算；D值<0.20；敏感性差值≥0.10,需要补充样本后再判断
ITEM-00035,96,图像,情绪识别,单选题,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.0,0.3333333333333333,5.0,0.1333333333333333,4,样本量<15；校正题总相关不可计算；D值<0.20；敏感性差值≥0.10,需要补充样本后再判断
ITEM-00029,34,图像,情绪识别,单选题,6.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,3.8333333333333335,0.0,4,样本量<15；严格完全识别率<0.25；校正题总相关不可计算；D值<0.20,需要补充样本后再判断
ITEM-00021,14,视频,情绪识别,单选题,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.31622776601683794,0.0,0.125,3.8333333333333335,0.11904761904761904,4,样本量<15；严格完全识别率<0.25；D值<0.20；敏感性差值≥0.10,需要补充样本后再判断
ITEM-00006,28,图像,情绪识别,单选题,6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,-0.5477225575051661,0.0,0.5833333333333334,4.166666666666667,0.11904761904761907,4,样本量<15；校正题总相关<0.15；D值<0.20；敏感性差值≥0.10,需要补充样本后再判断
ITEM-00018,11,视频,情绪识别,单选题,6.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,-0.5,0.0,0.75,4.666666666666667,0.11904761904761907,4,样本量<15；校正题总相关<0.15；D值<0.20；敏感性差值≥0.10,需要补充样本后再判断
ITEM-00036,45,图像,情绪识别,单选题,7.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571,-0.41957319583913677,0.0,0.10714285714285714,3.142857142857143,0.0,4,样本量<15；严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00112,35,图像,情绪识别,单选题,7.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,4.0,0.0,4,样本量<15；严格完全识别率<0.25；校正题总相关不可计算；D值<0.20,需要补充样本后再判断
ITEM-00008,30,图像,情绪识别,单选题,8.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,3.25,0.0,4,样本量<15；严格完全识别率<0.25；校正题总相关不可计算；D值<0.20,需要补充样本后再判断
ITEM-00120,105,图像,情绪识别,单选题,8.0,0.125,0.125,0.125,0.125,0.875,-0.19557956467948945,0.0,0.09375,4.125,0.0,4,样本量<15；严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00033,44,图像,情绪识别,单选题,9.0,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,-0.0316227766016839,0.0,0.4166666666666667,4.0,0.10101010101010105,4,样本量<15；校正题总相关<0.15；D值<0.20；敏感性差值≥0.10,需要补充样本后再判断
ITEM-00133,99,图像,情绪识别,多选题,11.0,0.09090909090909091,0.3727272727272727,0.45454545454545453,0.32575757575757575,0.6742424242424242,0.10673521004472303,0.0,0.375,3.5303030303030307,0.03125,4,样本量<15；严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00085,76,视频,情绪识别,多选题,13.0,0.3076923076923077,0.7930384615384616,0.9615384615384616,0.7025641025641026,0.2974358974358975,-0.33163836075902653,-0.3333333333333333,0.7980769230769231,4.216666666666667,0.10641025641025648,4,样本量<15；校正题总相关<0.15；D值<0.20；敏感性差值≥0.10,需要补充样本后再判断
ITEM-00132,37,图像,情绪识别,多选题,14.0,0.14285714285714285,0.6122500000000001,0.6785714285714286,0.6297619047619047,0.3702380952380952,-0.08446717229993574,0.0,0.5,3.5952380952380953,0.0,4,样本量<15；严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00131,115,图像,情绪识别,多选题,14.0,0.07142857142857142,0.5765428571428571,0.6785714285714286,0.5761904761904761,0.42380952380952375,-0.22585868535211973,0.0,0.5357142857142857,3.755952380952381,0.0,4,样本量<15；严格完全识别率<0.25；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00147,6,视频,情绪识别,单选题,4.0,0.75,0.75,0.75,0.75,0.25,,1.0,0.5,4.25,0.15000000000000002,3,样本量<15；校正题总相关不可计算；敏感性差值≥0.10,需要补充样本后再判断
ITEM-00001,3,视频,情绪识别,单选题,5.0,0.8,0.8,0.8,0.8,0.2,-0.5160468465421402,-1.0,0.45,4.6,0.0,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00015,4,视频,情绪识别,单选题,6.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.19999999999999996,0.0,0.125,4.666666666666667,0.0,3,样本量<15；严格完全识别率<0.25；D值<0.20,需要补充样本后再判断
ITEM-00023,55,视频,情绪识别,单选题,7.0,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,-0.13155870289605445,-1.0,0.6428571428571429,3.7142857142857144,0.0892857142857143,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00019,12,视频,情绪识别,单选题,7.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.10629880069054673,0.0,0.4642857142857143,4.0,0.0,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00034,43,图像,情绪识别,单选题,8.0,0.875,0.875,0.875,0.875,0.125,-0.06514047490619217,0.0,0.78125,4.625,0.0,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00016,9,视频,情绪识别,单选题,8.0,0.75,0.75,0.75,0.75,0.25,-0.4622501635210241,-0.5,0.65625,4.0,0.08333333333333337,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00119,49,图像,情绪识别,单选题,8.0,0.25,0.25,0.25,0.25,0.75,0.029197858123689142,0.0,0.21875,3.25,0.0,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00038,51,文本,情绪识别,单选题,9.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.10910894511799615,0.0,0.5833333333333334,4.0,0.0,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00115,39,图像,情绪识别,单选题,10.0,0.8,0.8,0.8,0.8,0.2,-0.025351006328169633,0.0,0.675,4.3,0.07272727272727275,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00062,23,文本,情绪识别,单选题,10.0,0.8,0.8,0.8,0.8,0.2,0.04096159602595202,-0.5,0.75,4.7,0.07272727272727275,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
ITEM-00011,25,图像,情绪识别,单选题,10.0,0.9,0.9,0.9,0.9,0.1,-0.2791345381070267,-0.5,0.8,3.7,0.009090909090909038,3,样本量<15；校正题总相关<0.15；D值<0.20,需要补充样本后再判断
