题目编号,ITEM-00001,ITEM-00002,ITEM-00003,ITEM-00004,ITEM-00005,ITEM-00006,ITEM-00007,ITEM-00008,ITEM-00009,ITEM-00010,ITEM-00011,ITEM-00012,ITEM-00013,ITEM-00014,ITEM-00015,ITEM-00016,ITEM-00017,ITEM-00018,ITEM-00019,ITEM-00020,ITEM-00021,ITEM-00022,ITEM-00023,ITEM-00024,ITEM-00025,ITEM-00026,ITEM-00027,ITEM-00028,ITEM-00029,ITEM-00030,ITEM-00032,ITEM-00033,ITEM-00034,ITEM-00035,ITEM-00036,ITEM-00037,ITEM-00038,ITEM-00039,ITEM-00040,ITEM-00041,ITEM-00042,ITEM-00043,ITEM-00044,ITEM-00045,ITEM-00046,ITEM-00047,ITEM-00048,ITEM-00049,ITEM-00050,ITEM-00051,ITEM-00052,ITEM-00053,ITEM-00054,ITEM-00055,ITEM-00056,ITEM-00057,ITEM-00058,ITEM-00059,ITEM-00060,ITEM-00061,ITEM-00062,ITEM-00063,ITEM-00064,ITEM-00065,ITEM-00066,ITEM-00067,ITEM-00068,ITEM-00069,ITEM-00070,ITEM-00071,ITEM-00072,ITEM-00073,ITEM-00074,ITEM-00075,ITEM-00076,ITEM-00077,ITEM-00078,ITEM-00079,ITEM-00080,ITEM-00081,ITEM-00082,ITEM-00083,ITEM-00084,ITEM-00085,ITEM-00086,ITEM-00087,ITEM-00088,ITEM-00089,ITEM-00090,ITEM-00091,ITEM-00092,ITEM-00093,ITEM-00094,ITEM-00095,ITEM-00096,ITEM-00097,ITEM-00098,ITEM-00100,ITEM-00101,ITEM-00102,ITEM-00104,ITEM-00105,ITEM-00106,ITEM-00107,ITEM-00108,ITEM-00109,ITEM-00110,ITEM-00111,ITEM-00112,ITEM-00113,ITEM-00114,ITEM-00115,ITEM-00116,ITEM-00117,ITEM-00118,ITEM-00119,ITEM-00120,ITEM-00121,ITEM-00122,ITEM-00123,ITEM-00124,ITEM-00125,ITEM-00126,ITEM-00127,ITEM-00128,ITEM-00129,ITEM-00130,ITEM-00131,ITEM-00132,ITEM-00133,ITEM-00134,ITEM-00135,ITEM-00136,ITEM-00137,ITEM-00138,ITEM-00139,ITEM-00140,ITEM-00141,ITEM-00142,ITEM-00143,ITEM-00144,ITEM-00145,ITEM-00146,ITEM-00147,ITEM-00148,ITEM-00149,ITEM-00150
ITEM-00001,5,2,0,3,0,0,1,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,1,1,0,3,0,0,0,0,1,0,0,2,1,0,1,1,1,1,2,0,2,1,1,0,4,0,3,1,0,2,0,1,2,0,3,0,2,0,3,1,0,1,3,1,2,1,0,2,1,4,0,1,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,2,2,1,1,1,0,1,1,2,0,2,1,1,3,2,1,1,2,1,1,0,0,0,1
ITEM-00002,2,30,1,0,1,1,2,2,7,3,2,3,3,3,1,0,1,0,3,3,2,3,2,0,1,2,0,0,1,1,3,1,2,1,3,5,2,2,3,4,7,4,4,9,2,3,7,7,6,3,2,4,5,4,3,7,7,3,4,2,2,5,3,6,5,0,8,5,7,6,4,4,2,8,5,6,13,10,8,5,3,3,9,4,11,4,7,7,6,8,5,10,4,6,11,9,6,7,4,10,7,9,0,5,9,13,8,4,1,4,1,1,3,4,3,2,3,3,3,12,11,2,5,5,4,4,3,3,2,2,13,12,4,9,9,17,17,5,8,5,10,7,8,0,5,0,10
ITEM-00003,0,1,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,2,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,2,1,0,1,0,0,1,2,1,0,0,1,1,1,1,2,1,2,1,0,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,2,1,1,0,1,1,0,0,0,0,0,1
ITEM-00004,3,0,1,34,2,2,5,3,10,14,2,0,3,1,3,2,2,0,1,1,2,3,1,1,3,2,3,1,0,3,1,4,2,1,2,3,6,5,2,6,4,3,8,7,5,2,6,14,5,5,3,8,2,4,3,11,5,1,1,3,5,4,5,5,1,2,11,5,7,5,10,7,2,8,8,6,20,9,10,8,5,7,7,2,15,6,6,3,9,9,6,5,6,9,12,11,7,12,8,7,4,16,0,5,7,12,5,2,1,3,3,5,3,1,3,1,2,5,3,12,8,8,2,6,7,4,4,5,8,2,3,7,8,11,11,14,11,18,10,11,9,8,5,3,0,0,10
ITEM-00005,0,1,0,2,8,1,1,1,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,1,1,1,0,1,1,0,1,2,4,0,1,1,0,0,1,1,0,3,1,1,2,0,2,1,0,0,0,3,2,2,1,2,1,0,2,4,1,4,2,4,1,2,1,0,2,5,1,0,3,1,1,1,2,2,2,3,0,2,1,2,1,0,3,4,2,5,3,0,0,0,1,0,2,1,1,0,0,0,1,2,0,6,2,0,2,2,0,3,2,1,1,2,1,2,1,0,4,3,5,3,2,3,3,2,0,0,1,2
ITEM-00006,0,1,0,2,1,6,0,1,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,2,0,0,1,0,0,1,5,2,0,1,1,0,1,0,2,2,0,0,2,1,0,0,1,0,1,1,2,2,0,2,0,1,0,2,1,5,1,5,1,2,1,2,0,3,1,0,2,0,0,0,2,3,1,1,2,2,0,0,0,1,2,2,3,3,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,0,2,3,1,1,1,1,1,1,2,1,1,2,1,2,2,2,1,2,3,2,0,0,1,1
ITEM-00007,1,2,0,5,1,0,13,1,4,5,1,1,0,2,1,0,0,0,0,1,2,0,0,0,1,3,1,0,0,0,0,0,0,0,0,2,2,0,1,2,6,0,1,0,1,1,5,2,3,1,4,1,3,1,2,5,1,2,1,1,0,2,3,1,0,0,4,2,1,0,2,3,2,5,3,4,6,3,4,1,3,4,6,0,2,1,3,0,3,2,2,3,4,3,5,7,1,4,3,2,1,6,4,2,4,5,3,1,0,1,0,1,0,0,2,0,0,2,1,5,5,4,1,2,1,3,2,0,2,1,4,2,1,4,3,7,5,5,5,5,2,1,3,0,0,2,7
ITEM-00008,2,2,0,3,1,1,1,8,2,2,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,1,1,1,2,0,0,2,0,0,3,1,1,0,0,1,1,1,0,3,2,0,0,3,1,0,0,1,0,0,3,2,3,2,0,3,1,0,1,1,4,1,2,3,2,4,3,1,3,0,1,0,1,1,2,5,0,3,2,1,4,4,2,1,2,3,3,0,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,2,3,0,1,2,2,1,4,1,1,0,3,4,0,1,2,4,4,3,1,2,3,4,1,1,0,0,2
ITEM-00009,2,7,1,10,3,2,4,2,35,6,1,4,5,1,1,2,3,0,3,3,0,3,1,1,0,3,3,0,3,1,0,3,1,0,3,2,3,1,4,5,7,5,5,2,4,2,5,6,6,3,4,2,2,6,3,8,6,2,4,6,4,6,4,6,5,5,10,5,16,2,5,7,6,9,8,8,15,12,10,8,3,7,12,4,12,9,8,3,6,4,9,15,4,12,13,6,5,6,8,12,9,14,7,7,11,11,7,1,2,1,2,8,2,2,3,3,2,4,4,5,9,2,2,7,3,8,5,6,4,2,9,8,7,7,10,20,14,14,8,10,8,9,8,0,5,11,10
ITEM-00010,1,3,1,14,3,1,5,2,6,33,0,2,4,3,3,3,2,1,2,1,2,1,2,0,1,2,2,2,1,2,0,4,1,1,2,3,3,2,7,5,4,2,6,10,4,2,9,12,5,4,3,6,4,3,4,9,4,2,1,4,2,4,3,4,4,2,10,5,7,6,7,10,5,8,6,5,18,13,6,8,5,7,11,2,11,2,6,8,14,7,4,7,7,7,8,7,5,11,8,9,8,13,8,5,8,12,8,4,2,5,2,3,2,1,4,1,2,3,3,10,10,9,5,2,5,5,5,2,4,4,1,3,4,11,11,15,0,25,10,10,5,5,7,2,1,8,9
