题目编号,抽中人数,题目标题,素材模态,能力类型,选项形式,每卷组合配额,组合题库数,期望作答人数,实际期望比,抽题组合
ITEM-00001,5,3,视频,情绪识别,单选题,1,19,6.7368421052631575,0.7421875,视频 / 单选题 / 情绪识别
ITEM-00002,30,6,视频,情绪推理,单选题,1,4,32.0,0.9375,视频 / 单选题 / 情绪推理
ITEM-00003,3,21,视频,情绪识别,单选题,1,19,6.7368421052631575,0.4453125,视频 / 单选题 / 情绪识别
ITEM-00004,34,62,视频,情绪推理,单选题,1,4,32.0,1.0625,视频 / 单选题 / 情绪推理
ITEM-00005,8,70,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00006,6,28,图像,情绪识别,单选题,2,28,9.142857142857142,0.65625,图像 / 单选题 / 情绪识别
ITEM-00007,13,29,图像,情绪识别,单选题,2,28,9.142857142857142,1.421875,图像 / 单选题 / 情绪识别
ITEM-00008,8,30,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00009,35,7,音频,情绪识别,单选题,2,7,36.57142857142857,0.95703125,音频 / 单选题 / 情绪识别
ITEM-00010,33,63,文本,情绪识别,多选题,3,12,32.0,1.03125,文本 / 多选题 / 情绪识别
ITEM-00011,10,25,图像,情绪识别,单选题,2,28,9.142857142857142,1.09375,图像 / 单选题 / 情绪识别
ITEM-00012,12,26,图像,情绪识别,单选题,2,28,9.142857142857142,1.3125,图像 / 单选题 / 情绪识别
ITEM-00013,15,27,图像,情绪识别,单选题,2,28,9.142857142857142,1.640625,图像 / 单选题 / 情绪识别
ITEM-00014,8,1,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00015,6,4,视频,情绪识别,单选题,1,19,6.7368421052631575,0.890625,视频 / 单选题 / 情绪识别
ITEM-00016,8,9,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00017,6,10,视频,情绪识别,单选题,1,19,6.7368421052631575,0.890625,视频 / 单选题 / 情绪识别
ITEM-00018,6,11,视频,情绪识别,单选题,1,19,6.7368421052631575,0.890625,视频 / 单选题 / 情绪识别
ITEM-00019,7,12,视频,情绪识别,单选题,1,19,6.7368421052631575,1.0390625,视频 / 单选题 / 情绪识别
ITEM-00020,10,13,视频,情绪识别,单选题,1,19,6.7368421052631575,1.484375,视频 / 单选题 / 情绪识别
ITEM-00021,6,14,视频,情绪识别,单选题,1,19,6.7368421052631575,0.890625,视频 / 单选题 / 情绪识别
ITEM-00022,9,16,视频,情绪识别,单选题,1,19,6.7368421052631575,1.3359375,视频 / 单选题 / 情绪识别
ITEM-00023,7,55,视频,情绪识别,单选题,1,19,6.7368421052631575,1.0390625,视频 / 单选题 / 情绪识别
ITEM-00024,3,57,视频,情绪识别,单选题,1,19,6.7368421052631575,0.4453125,视频 / 单选题 / 情绪识别
ITEM-00025,4,60,视频,情绪识别,单选题,1,19,6.7368421052631575,0.59375,视频 / 单选题 / 情绪识别
ITEM-00026,8,64,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00027,8,83,视频,情绪识别,单选题,1,19,6.7368421052631575,1.1875,视频 / 单选题 / 情绪识别
ITEM-00028,3,24,图像,情绪识别,单选题,2,28,9.142857142857142,0.328125,图像 / 单选题 / 情绪识别
ITEM-00029,6,34,图像,情绪识别,单选题,2,28,9.142857142857142,0.65625,图像 / 单选题 / 情绪识别
ITEM-00030,8,42,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00032,5,41,图像,情绪识别,单选题,2,28,9.142857142857142,0.546875,图像 / 单选题 / 情绪识别
ITEM-00033,9,44,图像,情绪识别,单选题,2,28,9.142857142857142,0.984375,图像 / 单选题 / 情绪识别
ITEM-00034,8,43,图像,情绪识别,单选题,2,28,9.142857142857142,0.875,图像 / 单选题 / 情绪识别
ITEM-00035,3,96,图像,情绪识别,单选题,2,28,9.142857142857142,0.328125,图像 / 单选题 / 情绪识别
ITEM-00036,7,45,图像,情绪识别,单选题,2,28,9.142857142857142,0.765625,图像 / 单选题 / 情绪识别
ITEM-00037,14,50,文本,情绪识别,单选题,1,10,12.8,1.09375,文本 / 单选题 / 情绪识别
ITEM-00038,9,51,文本,情绪识别,单选题,1,10,12.8,0.703125,文本 / 单选题 / 情绪识别
ITEM-00039,13,52,文本,情绪识别,单选题,1,10,12.8,1.015625,文本 / 单选题 / 情绪识别
ITEM-00040,16,53,文本,情绪识别,单选题,1,10,12.8,1.25,文本 / 单选题 / 情绪识别
ITEM-00041,18,54,文本,情绪识别,单选题,1,10,12.8,1.40625,文本 / 单选题 / 情绪识别
ITEM-00042,22,61,视频,情绪识别,多选题,2,13,19.692307692307693,1.1171875,视频 / 多选题 / 情绪识别
ITEM-00043,17,65,视频,情绪识别,多选题,2,13,19.692307692307693,0.86328125,视频 / 多选题 / 情绪识别
ITEM-00044,21,80,视频,情绪识别,多选题,2,13,19.692307692307693,1.06640625,视频 / 多选题 / 情绪识别
ITEM-00045,31,2,音频,情绪识别,单选题,2,7,36.57142857142857,0.84765625,音频 / 单选题 / 情绪识别
ITEM-00046,12,89,图像,情绪识别,多选题,3,22,17.454545454545453,0.6875,图像 / 多选题 / 情绪识别
ITEM-00047,16,90,图像,情绪识别,多选题,3,22,17.454545454545453,0.9166666666666667,图像 / 多选题 / 情绪识别
ITEM-00048,34,2,音频,情绪识别,单选题,2,7,36.57142857142857,0.9296875,音频 / 单选题 / 情绪识别
ITEM-00049,43,17,音频,情绪识别,单选题,2,7,36.57142857142857,1.17578125,音频 / 单选题 / 情绪识别
ITEM-00050,20,92,图像,情绪识别,多选题,3,22,17.454545454545453,1.1458333333333335,图像 / 多选题 / 情绪识别
ITEM-00051,15,93,图像,情绪识别,单选题,2,28,9.142857142857142,1.640625,图像 / 单选题 / 情绪识别
ITEM-00052,15,94,图像,情绪识别,多选题,3,22,17.454545454545453,0.8593750000000001,图像 / 多选题 / 情绪识别
ITEM-00053,15,95,图像,情绪识别,多选题,3,22,17.454545454545453,0.8593750000000001,图像 / 多选题 / 情绪识别
ITEM-00054,15,97,图像,情绪识别,多选题,3,22,17.454545454545453,0.8593750000000001,图像 / 多选题 / 情绪识别
ITEM-00055,18,98,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别
ITEM-00056,11,101,图像,情绪识别,单选题,2,28,9.142857142857142,1.203125,图像 / 单选题 / 情绪识别
ITEM-00057,33,23,音频,情绪识别,单选题,2,7,36.57142857142857,0.90234375,音频 / 单选题 / 情绪识别
ITEM-00058,22,102,图像,情绪识别,多选题,3,22,17.454545454545453,1.2604166666666667,图像 / 多选题 / 情绪识别
ITEM-00059,12,15,文本,情绪识别,单选题,1,10,12.8,0.9375,文本 / 单选题 / 情绪识别
ITEM-00060,11,18,文本,情绪识别,单选题,1,10,12.8,0.859375,文本 / 单选题 / 情绪识别
ITEM-00061,18,109,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别
ITEM-00062,10,23,文本,情绪识别,单选题,1,10,12.8,0.78125,文本 / 单选题 / 情绪识别
ITEM-00063,16,110,图像,情绪识别,多选题,3,22,17.454545454545453,0.9166666666666667,图像 / 多选题 / 情绪识别
ITEM-00064,18,111,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别
ITEM-00065,20,112,图像,情绪识别,多选题,3,22,17.454545454545453,1.1458333333333335,图像 / 多选题 / 情绪识别
ITEM-00066,17,113,图像,情绪识别,多选题,3,22,17.454545454545453,0.9739583333333334,图像 / 多选题 / 情绪识别
ITEM-00067,9,114,图像,情绪识别,单选题,2,28,9.142857142857142,0.984375,图像 / 单选题 / 情绪识别
ITEM-00068,35,116,文本,情绪识别,多选题,3,12,32.0,1.09375,文本 / 多选题 / 情绪识别
ITEM-00069,24,117,文本,情绪识别,多选题,3,12,32.0,0.75,文本 / 多选题 / 情绪识别
ITEM-00070,37,119,文本,情绪识别,多选题,3,12,32.0,1.15625,文本 / 多选题 / 情绪识别
ITEM-00071,18,91,图像,情绪识别,多选题,3,22,17.454545454545453,1.03125,图像 / 多选题 / 情绪识别
ITEM-00072,26,120,文本,情绪识别,多选题,3,12,32.0,0.8125,文本 / 多选题 / 情绪识别
ITEM-00073,19,107,图像,情绪识别,多选题,3,22,17.454545454545453,1.0885416666666667,图像 / 多选题 / 情绪识别
ITEM-00074,14,121,文本,情绪识别,单选题,1,10,12.8,1.09375,文本 / 单选题 / 情绪识别
ITEM-00075,29,108,图像,情绪识别,多选题,3,22,17.454545454545453,1.6614583333333335,图像 / 多选题 / 情绪识别
ITEM-00076,24,78,音频,情绪识别,多选题,2,9,28.444444444444443,0.84375,音频 / 多选题 / 情绪识别
ITEM-00077,26,79,音频,情绪识别,多选题,2,9,28.444444444444443,0.9140625,音频 / 多选题 / 情绪识别
