题目编号,题目标题,素材模态,能力类型,选项形式,有效作答人数,答对人数,平均作答时间秒,作答时间中位数秒,难度_严格答对率,极端效应,题目处理建议
ITEM-00043,65,视频,情绪识别,多选题,17,0,39.72176470588235,30.72,0.0,地板题,建议删除（须内容复核）
ITEM-00044,80,视频,情绪识别,多选题,21,0,22.74904761904762,20.75,0.0,地板题,建议删除（须内容复核）
ITEM-00052,94,图像,情绪识别,多选题,15,0,21.077333333333335,15.92,0.0,地板题,建议删除（须内容复核）
ITEM-00065,112,图像,情绪识别,多选题,20,0,21.435499999999998,19.060000000000002,0.0,地板题,建议删除（须内容复核）
ITEM-00066,113,图像,情绪识别,多选题,17,0,19.174705882352942,16.63,0.0,地板题,建议删除（须内容复核）
ITEM-00076,78,音频,情绪识别,多选题,24,0,32.67875,28.975,0.0,地板题,建议删除（须内容复核）
ITEM-00080,65,视频,情绪推理,多选题,35,0,45.21371428571429,37.88,0.0,地板题,建议删除（须内容复核）
ITEM-00110,59,文本,情绪推理,多选题,32,0,38.86875,31.655,0.0,地板题,建议删除（须内容复核）
ITEM-00126,86,视频,情绪识别,多选题,17,0,29.97470588235294,27.87,0.0,地板题,建议删除（须内容复核）
ITEM-00138,22,音频,情绪推理,多选题,37,0,63.70081081081081,62.23,0.0,地板题,建议删除（须内容复核）
ITEM-00139,37,图像,情绪推理,多选题,64,2,26.2546875,22.04,0.03125,地板题,建议删除（须内容复核）
ITEM-00145,69,音频,情绪识别,多选题,29,1,40.79379310344827,40.4,0.034482758620689655,地板题,建议删除（须内容复核）
ITEM-00098,1,视频,情绪推理,多选题,28,1,38.28785714285714,32.955,0.03571428571428571,地板题,建议删除（须内容复核）
ITEM-00072,120,文本,情绪识别,多选题,26,1,29.19884615384615,22.875,0.038461538461538464,地板题,建议删除（须内容复核）
ITEM-00107,81,视频,情绪推理,多选题,25,1,40.9576,37.51,0.04,地板题,建议删除（须内容复核）
ITEM-00069,117,文本,情绪识别,多选题,24,1,20.63083333333333,19.93,0.041666666666666664,地板题,建议删除（须内容复核）
ITEM-00058,102,图像,情绪识别,多选题,22,1,23.649545454545454,19.575,0.045454545454545456,地板题,建议删除（须内容复核）
ITEM-00084,78,音频,情绪推理,多选题,43,2,32.731162790697674,25.69,0.046511627906976744,地板题,建议删除（须内容复核）
ITEM-00078,89,图像,情绪推理,多选题,64,3,26.93796875,22.36,0.046875,地板题,建议删除（须内容复核）
ITEM-00136,71,文本,情绪识别,多选题,21,1,25.944285714285716,24.06,0.047619047619047616,地板题,建议删除（须内容复核）
ITEM-00105,2,音频,情绪推理,多选题,41,2,46.1290243902439,42.89,0.04878048780487805,地板题,建议删除（须内容复核）
ITEM-00127,87,视频,情绪识别,多选题,20,1,69.15450000000001,60.075,0.05,地板题,建议删除（须内容复核）
ITEM-00135,68,文本,情绪识别,多选题,39,2,31.83846153846154,28.12,0.05128205128205128,地板题,建议删除（须内容复核）
ITEM-00083,73,视频,情绪识别,多选题,19,1,82.26578947368421,57.63,0.05263157894736842,地板题,建议删除（须内容复核）
ITEM-00089,84,视频,情绪识别,多选题,19,1,62.473684210526315,58.66,0.05263157894736842,地板题,建议删除（须内容复核）
ITEM-00055,98,图像,情绪识别,多选题,18,1,24.23611111111111,20.439999999999998,0.05555555555555555,地板题,建议删除（须内容复核）
ITEM-00071,91,图像,情绪识别,多选题,18,1,30.098888888888887,30.855,0.05555555555555555,地板题,建议删除（须内容复核）
ITEM-00109,88,音频,情绪推理,多选题,49,3,58.04775510204082,59.78,0.061224489795918366,地板题,建议删除（须内容复核）
ITEM-00053,95,图像,情绪识别,多选题,15,1,25.63266666666667,18.63,0.06666666666666667,地板题,建议删除（须内容复核）
ITEM-00054,97,图像,情绪识别,多选题,15,1,16.010666666666665,13.9,0.06666666666666667,地板题,建议删除（须内容复核）
ITEM-00141,67,文本,情绪推理,多选题,48,4,55.727916666666665,50.665,0.08333333333333333,地板题,建议删除（须内容复核）
ITEM-00108,59,音频,情绪推理,多选题,35,3,50.21828571428572,39.23,0.08571428571428572,地板题,建议删除（须内容复核）
ITEM-00094,88,音频,情绪识别,多选题,23,2,45.53,44.52,0.08695652173913043,地板题,建议删除（须内容复核）
ITEM-00079,61,视频,情绪推理,多选题,34,3,36.8235294117647,31.880000000000003,0.08823529411764706,地板题,建议删除（须内容复核）
ITEM-00075,108,图像,情绪识别,多选题,29,3,22.710689655172413,16.56,0.10344827586206896,地板题,建议删除（须内容复核）
ITEM-00130,104,图像,情绪识别,多选题,19,2,16.87421052631579,17.04,0.10526315789473684,地板题,建议删除（须内容复核）
ITEM-00097,82,文本,情绪识别,多选题,36,4,37.86972222222222,32.254999999999995,0.1111111111111111,地板题,建议删除（须内容复核）
ITEM-00077,79,音频,情绪识别,多选题,26,3,36.98307692307692,29.285,0.11538461538461539,地板题,建议删除（须内容复核）
ITEM-00087,77,视频,情绪识别,多选题,17,2,49.10647058823529,41.23,0.11764705882352941,地板题,建议删除（须内容复核）
ITEM-00090,56,音频,情绪识别,多选题,29,4,39.894137931034486,35.89,0.13793103448275862,地板题,建议删除（须内容复核）
ITEM-00140,63,文本,情绪推理,多选题,48,7,27.485833333333332,24.104999999999997,0.14583333333333334,地板题,建议删除（须内容复核）
ITEM-00096,74,文本,情绪识别,多选题,40,6,24.4685,21.509999999999998,0.15,地板题,建议删除（须内容复核）
ITEM-00013,27,图像,情绪识别,单选题,15,13,13.25,10.59,0.8666666666666667,天花板题,建议删除（须内容复核）
