题目编号,题目标题,选项,是否原题答案选项,选项性质,选择人数,有效作答人数,选择概率_选择人数除以该题作答人数,选择百分比_选择人数除以该题作答人数,情绪出现在本题候选情绪中的次数,被选数/出现数,被选数/出现数百分比,是否零选择选项,分析口径
ITEM-00001,3,平静,False,非答案候选选项,1,5,0.2,20.0,1,1.0,100.0,False,按实际呈现人数
ITEM-00001,3,震惊,True,标准答案选项,4,5,0.8,80.0,5,0.8,80.0,False,按实际呈现人数
ITEM-00001,3,不屑,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,共情痛苦,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,兴奋,False,非答案候选选项,0,5,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,内疚,False,非答案候选选项,0,5,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,失望,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,尴尬,False,非答案候选选项,0,5,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,希望,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,快乐,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,怀旧,False,非答案候选选项,0,5,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,怨恨,False,非答案候选选项,0,5,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,悲伤,False,非答案候选选项,0,5,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,惊喜,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,惊讶,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,愁闷,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,愉悦,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,感动,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,感激,False,非答案候选选项,0,5,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,愤怒,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,抑郁,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,担忧,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,敌意,False,非答案候选选项,0,5,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,渴望,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,满足,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,爱,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,痛苦,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,绝望,False,非答案候选选项,0,5,0.0,0.0,2,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,羞耻,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,羡慕,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,蔑视,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,轻松,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00001,3,释然,False,非答案候选选项,0,5,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,内疚,False,非答案候选选项,2,30,0.06666666666666667,6.666666666666667,3,0.6666666666666666,66.66666666666666,False,按实际呈现人数
ITEM-00002,6,感动,True,标准答案选项,16,30,0.5333333333333333,53.333333333333336,30,0.5333333333333333,53.333333333333336,False,按实际呈现人数
ITEM-00002,6,愁闷,False,非答案候选选项,2,30,0.06666666666666667,6.666666666666667,4,0.5,50.0,False,按实际呈现人数
ITEM-00002,6,感激,False,非答案候选选项,3,30,0.1,10.0,9,0.3333333333333333,33.33333333333333,False,按实际呈现人数
ITEM-00002,6,爱,False,非答案候选选项,2,30,0.06666666666666667,6.666666666666667,6,0.3333333333333333,33.33333333333333,False,按实际呈现人数
ITEM-00002,6,悲伤,False,非答案候选选项,1,30,0.03333333333333333,3.3333333333333335,6,0.16666666666666666,16.666666666666664,False,按实际呈现人数
ITEM-00002,6,渴望,False,非答案候选选项,1,30,0.03333333333333333,3.3333333333333335,6,0.16666666666666666,16.666666666666664,False,按实际呈现人数
ITEM-00002,6,痛苦,False,非答案候选选项,1,30,0.03333333333333333,3.3333333333333335,6,0.16666666666666666,16.666666666666664,False,按实际呈现人数
ITEM-00002,6,平静,False,非答案候选选项,1,30,0.03333333333333333,3.3333333333333335,8,0.125,12.5,False,按实际呈现人数
ITEM-00002,6,担忧,False,非答案候选选项,1,30,0.03333333333333333,3.3333333333333335,12,0.08333333333333333,8.333333333333332,False,按实际呈现人数
ITEM-00002,6,不屑,False,非答案候选选项,0,30,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,共情痛苦,False,非答案候选选项,0,30,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,兴奋,False,非答案候选选项,0,30,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,兴趣,False,非答案候选选项,0,30,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,冷静,False,非答案候选选项,0,30,0.0,0.0,9,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,厌倦,False,非答案候选选项,0,30,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,厌恶,False,非答案候选选项,0,30,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,困惑,False,非答案候选选项,0,30,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,失望,False,非答案候选选项,0,30,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,好奇,False,非答案候选选项,0,30,0.0,0.0,12,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,委屈,False,非答案候选选项,0,30,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,嫉妒,False,非答案候选选项,0,30,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,审美欣赏,False,非答案候选选项,0,30,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,尴尬,False,非答案候选选项,0,30,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,崇拜,False,非答案候选选项,0,30,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,希望,False,非答案候选选项,0,30,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,快乐,False,非答案候选选项,0,30,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,怀旧,False,非答案候选选项,0,30,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,怨恨,False,非答案候选选项,0,30,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,恐惧,False,非答案候选选项,0,30,0.0,0.0,9,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,惊喜,False,非答案候选选项,0,30,0.0,0.0,10,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,惊讶,False,非答案候选选项,0,30,0.0,0.0,7,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,愉悦,False,非答案候选选项,0,30,0.0,0.0,8,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,愤怒,False,非答案候选选项,0,30,0.0,0.0,6,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,抑郁,False,非答案候选选项,0,30,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,敌意,False,非答案候选选项,0,30,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,满足,False,非答案候选选项,0,30,0.0,0.0,1,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,烦躁,False,非答案候选选项,0,30,0.0,0.0,4,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,焦虑,False,非答案候选选项,0,30,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,紧张,False,非答案候选选项,0,30,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,绝望,False,非答案候选选项,0,30,0.0,0.0,5,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,羞耻,False,非答案候选选项,0,30,0.0,0.0,10,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,羡慕,False,非答案候选选项,0,30,0.0,0.0,10,0.0,0.0,True,按实际呈现人数
ITEM-00002,6,自满,False,非答案候选选项,0,30,0.0,0.0,3,0.0,0.0,True,按实际呈现人数
