题目编号,原题答案,有效作答人数,原答案完整命中率,原答案全部被选率_允许多选其他项,至少一个原答案被选率,原答案选项平均选择概率,至少一个新选项被选率,新选项平均选择个数,原答案完整命中百分比,原答案全部被选百分比_允许多选其他项,至少一个原答案被选百分比,原答案选项平均选择百分比,至少一个新选项被选百分比
ITEM-00001,震惊,5,0.8,0.8,0.8,0.8,0.2,0.2,80.0,80.0,80.0,80.0,20.0
ITEM-00002,感动,30,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.4666666666666667,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664
ITEM-00003,遗憾,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333
ITEM-00004,尴尬,34,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.23529411764705882,0.23529411764705882,76.47058823529412,76.47058823529412,76.47058823529412,76.47058823529412,23.52941176470588
ITEM-00005,审美欣赏,8,0.5,0.5,0.5,0.5,0.5,0.5,50.0,50.0,50.0,50.0,50.0
ITEM-00006,紧张,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,16.666666666666664
ITEM-00007,惊讶,13,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.8461538461538461,0.8461538461538461,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,84.61538461538461
ITEM-00008,困惑,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,100.0
ITEM-00009,紧张,35,0.4,0.4,0.4,0.4,0.6,0.6,40.0,40.0,40.0,40.0,60.0
ITEM-00010,惊喜｜兴奋,33,0.2727272727272727,0.6363636363636364,0.9393939393939394,0.7878787878787878,0.5757575757575758,0.9393939393939394,27.27272727272727,63.63636363636363,93.93939393939394,78.78787878787878,57.57575757575758
ITEM-00011,担忧,10,0.9,0.9,0.9,0.9,0.1,0.1,90.0,90.0,90.0,90.0,10.0
ITEM-00012,愤怒,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.08333333333333333,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666,8.333333333333332
ITEM-00013,愤怒,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.13333333333333333,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,13.333333333333334
ITEM-00014,崇拜,8,0.875,0.875,0.875,0.875,0.125,0.125,87.5,87.5,87.5,87.5,12.5
ITEM-00015,绝望,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,83.33333333333334
ITEM-00016,不屑,8,0.75,0.75,0.75,0.75,0.25,0.25,75.0,75.0,75.0,75.0,25.0
ITEM-00017,愤怒,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,16.666666666666664
ITEM-00018,共情痛苦,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.16666666666666666,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,16.666666666666664
ITEM-00019,烦躁,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.42857142857142855,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714,42.857142857142854
ITEM-00020,尴尬,10,0.5,0.5,0.5,0.5,0.5,0.5,50.0,50.0,50.0,50.0,50.0
ITEM-00021,怀旧,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.8333333333333334,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,83.33333333333334
ITEM-00022,震惊,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333
ITEM-00023,敌意,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.2857142857142857,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,28.57142857142857
