题目编号,题目标题,标准答案,有效作答人数,标准答案完整命中率,标准答案全部被选率,至少一个标准答案被选率,标准答案选项平均条件选择概率,至少一个非答案候选项被选率,非答案候选项平均条件选择概率,每名被试平均误选的非答案选项数,零选择候选项数量,零选择非答案候选项数量,分析口径,标准答案完整命中百分比,标准答案全部被选百分比,至少一个标准答案被选百分比,标准答案选项平均条件选择概百分比,至少一个非答案候选项被选百分比,非答案候选项平均条件选择概百分比
ITEM-00001,3,震惊,5,0.8,0.8,0.8,0.8,0.2,0.03125,0.2,31,31,按实际呈现人数,80.0,80.0,80.0,80.0,20.0,3.125
ITEM-00002,6,感动,30,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.4666666666666667,0.05187074829931972,0.4666666666666667,40,40,按实际呈现人数,53.333333333333336,53.333333333333336,53.333333333333336,53.333333333333336,46.666666666666664,5.187074829931972
ITEM-00003,21,遗憾,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.047619047619047616,0.3333333333333333,20,20,按实际呈现人数,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,4.761904761904762
ITEM-00004,62,尴尬,34,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.23529411764705882,0.03142209264658244,0.23529411764705882,41,41,按实际呈现人数,76.47058823529412,76.47058823529412,76.47058823529412,76.47058823529412,23.52941176470588,3.142209264658244
ITEM-00005,70,审美欣赏,8,0.5,0.5,0.5,0.5,0.5,0.0707070707070707,0.5,29,29,按实际呈现人数,50.0,50.0,50.0,50.0,50.0,7.07070707070707
ITEM-00006,28,紧张,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.009009009009009009,0.16666666666666666,36,36,按实际呈现人数,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,16.666666666666664,0.9009009009009009
ITEM-00007,29,惊讶,13,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.8461538461538461,0.087984496124031,0.8461538461538461,34,34,按实际呈现人数,15.384615384615385,15.384615384615385,15.384615384615385,15.384615384615385,84.61538461538461,8.7984496124031
ITEM-00008,30,困惑,8,0.0,0.0,0.0,0.0,1.0,0.10515873015873015,1.0,35,34,按实际呈现人数,0.0,0.0,0.0,0.0,100.0,10.515873015873014
ITEM-00009,7,紧张,35,0.4,0.4,0.4,0.4,0.6,0.07661285473785474,0.6,36,36,按实际呈现人数,40.0,40.0,40.0,40.0,60.0,7.661285473785474
ITEM-00010,63,兴奋｜惊喜,33,0.2727272727272727,0.6363636363636364,0.9393939393939394,0.7878787878787878,0.5757575757575758,0.12499248436748438,0.9393939393939394,33,33,按实际呈现人数,27.27272727272727,63.63636363636363,93.93939393939394,78.78787878787878,57.57575757575758,12.499248436748438
ITEM-00011,25,担忧,10,0.9,0.9,0.9,0.9,0.1,0.005,0.1,39,39,按实际呈现人数,90.0,90.0,90.0,90.0,10.0,0.5
ITEM-00012,26,愤怒,12,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.08333333333333333,0.005555555555555556,0.08333333333333333,44,44,按实际呈现人数,91.66666666666666,91.66666666666666,91.66666666666666,91.66666666666666,8.333333333333332,0.5555555555555556
ITEM-00013,27,愤怒,15,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.13333333333333333,0.006802721088435374,0.13333333333333333,48,48,按实际呈现人数,86.66666666666667,86.66666666666667,86.66666666666667,86.66666666666667,13.333333333333334,0.6802721088435374
ITEM-00014,1,崇拜,8,0.875,0.875,0.875,0.875,0.125,0.0125,0.125,39,39,按实际呈现人数,87.5,87.5,87.5,87.5,12.5,1.25
ITEM-00015,4,绝望,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.09803921568627451,0.8333333333333334,29,29,按实际呈现人数,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,83.33333333333334,9.803921568627452
ITEM-00016,9,不屑,8,0.75,0.75,0.75,0.75,0.25,0.034188034188034185,0.25,37,37,按实际呈现人数,75.0,75.0,75.0,75.0,25.0,3.4188034188034186
ITEM-00017,10,愤怒,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.029411764705882353,0.16666666666666666,33,33,按实际呈现人数,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,16.666666666666664,2.941176470588235
ITEM-00018,11,共情痛苦,6,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.16666666666666666,0.010416666666666666,0.16666666666666666,31,31,按实际呈现人数,83.33333333333334,83.33333333333334,83.33333333333334,83.33333333333334,16.666666666666664,1.0416666666666665
ITEM-00019,12,烦躁,7,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.42857142857142855,0.04411764705882353,0.42857142857142855,32,32,按实际呈现人数,57.14285714285714,57.14285714285714,57.14285714285714,57.14285714285714,42.857142857142854,4.411764705882353
ITEM-00020,13,尴尬,10,0.5,0.5,0.5,0.5,0.5,0.06626984126984127,0.5,37,37,按实际呈现人数,50.0,50.0,50.0,50.0,50.0,6.626984126984127
ITEM-00021,14,怀旧,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.10087719298245615,0.8333333333333334,33,33,按实际呈现人数,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,83.33333333333334,10.087719298245615
ITEM-00022,16,震惊,9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.029166666666666664,0.3333333333333333,37,37,按实际呈现人数,66.66666666666666,66.66666666666666,66.66666666666666,66.66666666666666,33.33333333333333,2.9166666666666665
ITEM-00023,55,敌意,7,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.02857142857142857,0.2857142857142857,33,33,按实际呈现人数,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,28.57142857142857,2.857142857142857
ITEM-00024,57,紧张,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.075,0.6666666666666666,18,18,按实际呈现人数,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666,7.5
ITEM-00025,60,痛苦,4,0.5,0.5,0.5,0.5,0.5,0.05172413793103448,0.5,27,27,按实际呈现人数,50.0,50.0,50.0,50.0,50.0,5.172413793103448
ITEM-00026,64,悲伤,8,0.625,0.625,0.625,0.625,0.375,0.04065040650406504,0.375,38,38,按实际呈现人数,62.5,62.5,62.5,62.5,37.5,4.0650406504065035
ITEM-00027,83,快乐,8,0.5,0.5,0.5,0.5,0.5,0.05416666666666666,0.5,37,37,按实际呈现人数,50.0,50.0,50.0,50.0,50.0,5.416666666666666
ITEM-00028,24,悲伤,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.08695652173913043,0.6666666666666666,21,21,按实际呈现人数,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666,8.695652173913043
ITEM-00029,34,厌恶,6,0.0,0.0,0.0,0.0,1.0,0.09313725490196079,1.0,31,30,按实际呈现人数,0.0,0.0,0.0,0.0,100.0,9.313725490196079
ITEM-00030,42,困惑,8,0.5,0.5,0.5,0.5,0.5,0.059829059829059825,0.5,35,35,按实际呈现人数,50.0,50.0,50.0,50.0,50.0,5.982905982905982
ITEM-00032,41,愉悦,5,0.4,0.4,0.4,0.4,0.6,0.08045977011494253,0.6,26,26,按实际呈现人数,40.0,40.0,40.0,40.0,60.0,8.045977011494253
ITEM-00033,44,惊讶,9,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.4444444444444444,0.022222222222222223,0.4444444444444444,35,35,按实际呈现人数,55.55555555555556,55.55555555555556,55.55555555555556,55.55555555555556,44.44444444444444,2.2222222222222223
ITEM-00034,43,爱,8,0.875,0.875,0.875,0.875,0.125,0.025,0.125,39,39,按实际呈现人数,87.5,87.5,87.5,87.5,12.5,2.5
ITEM-00035,96,惊讶,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.09090909090909091,0.6666666666666666,20,20,按实际呈现人数,33.33333333333333,33.33333333333333,33.33333333333333,33.33333333333333,66.66666666666666,9.090909090909092
ITEM-00036,45,兴趣,7,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.0842857142857143,0.8571428571428571,30,30,按实际呈现人数,14.285714285714285,14.285714285714285,14.285714285714285,14.285714285714285,85.71428571428571,8.42857142857143
ITEM-00037,50,蔑视,14,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.035460992907801414,0.2857142857142857,43,43,按实际呈现人数,71.42857142857143,71.42857142857143,71.42857142857143,71.42857142857143,28.57142857142857,3.546099290780141
ITEM-00038,51,自满,9,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.2222222222222222,0.020833333333333332,0.2222222222222222,38,38,按实际呈现人数,77.77777777777779,77.77777777777779,77.77777777777779,77.77777777777779,22.22222222222222,2.083333333333333
ITEM-00039,52,痛苦,13,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.15384615384615385,0.028368794326241134,0.15384615384615385,45,45,按实际呈现人数,84.61538461538461,84.61538461538461,84.61538461538461,84.61538461538461,15.384615384615385,2.8368794326241136
ITEM-00040,53,怨恨,16,0.625,0.625,0.625,0.625,0.375,0.03229166666666667,0.375,45,45,按实际呈现人数,62.5,62.5,62.5,62.5,37.5,3.229166666666667
ITEM-00041,54,自满,18,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.11054421768707481,0.8333333333333334,39,39,按实际呈现人数,16.666666666666664,16.666666666666664,16.666666666666664,16.666666666666664,83.33333333333334,11.054421768707481
ITEM-00042,61,委屈｜悲伤,22,0.18181818181818182,0.36363636363636365,0.8636363636363636,0.6136363636363636,0.6363636363636364,0.12762896825396824,1.0,33,33,按实际呈现人数,18.181818181818183,36.36363636363637,86.36363636363636,61.36363636363637,63.63636363636363,12.762896825396824
ITEM-00043,65,怀旧｜愉悦｜感动｜遗憾,17,0.0,0.0,1.0,0.3676470588235294,0.5294117647058824,0.125968992248062,0.6470588235294118,35,34,按实际呈现人数,0.0,0.0,100.0,36.764705882352935,52.94117647058824,12.596899224806199
ITEM-00044,80,惊讶｜紧张,21,0.0,0.19047619047619047,0.9047619047619048,0.5476190476190477,0.5714285714285714,0.10069444444444443,0.7142857142857143,38,38,按实际呈现人数,0.0,19.047619047619047,90.47619047619048,54.761904761904766,57.14285714285714,10.069444444444443
ITEM-00045,2,紧张,31,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.2903225806451613,0.7096774193548387,0.08048266925817946,0.7096774193548387,35,35,按实际呈现人数,29.03225806451613,29.03225806451613,29.03225806451613,29.03225806451613,70.96774193548387,8.048266925817945
ITEM-00046,89,内疚｜悲伤,12,0.0,0.4166666666666667,0.8333333333333334,0.625,0.75,0.1402439024390244,1.0,30,30,按实际呈现人数,0.0,41.66666666666667,83.33333333333334,62.5,75.0,14.02439024390244
ITEM-00047,90,快乐｜惊喜｜愉悦,16,0.1875,0.375,0.875,0.625,0.5,0.11507936507936507,0.6875,35,35,按实际呈现人数,18.75,37.5,87.5,62.5,50.0,11.507936507936508
ITEM-00048,2,愤怒,34,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.29411764705882354,0.025235592072326767,0.29411764705882354,41,41,按实际呈现人数,70.58823529411765,70.58823529411765,70.58823529411765,70.58823529411765,29.411764705882355,2.523559207232677
