题目编号,题目标题,素材模态,能力类型,选项形式,有效作答人数,答对人数,平均作答时间秒,作答时间中位数秒,难度_严格答对率,极端效应,题目处理建议,模态作答中位数秒,模态长时阈值秒,相对模态中位数倍数,作答过久,时间复核建议
ITEM-00001,3,视频,情绪识别,单选题,5,4,33.89,26.62,0.8,无,样本不足，补测后判断,38.1975,59.325,0.6969042476601872,False,无
ITEM-00002,6,视频,情绪推理,单选题,30,16,43.417,41.79,0.5333333333333333,无,保留进入难度分级,38.1975,59.325,1.0940506577655607,False,无
ITEM-00003,21,视频,情绪识别,单选题,3,2,39.93333333333333,35.48,0.6666666666666666,无,样本不足，补测后判断,38.1975,59.325,0.928856600562864,False,无
ITEM-00004,62,视频,情绪推理,单选题,34,26,29.436764705882354,26.295,0.7647058823529411,无,保留进入难度分级,38.1975,59.325,0.6883958374239153,False,无
ITEM-00005,70,视频,情绪识别,单选题,8,4,32.99625,27.57,0.5,无,样本不足，补测后判断,38.1975,59.325,0.7217749852739054,False,无
ITEM-00006,28,图像,情绪识别,单选题,6,5,18.276666666666667,15.379999999999999,0.8333333333333334,无,样本不足，补测后判断,17.0525,22.343,0.9019205395103358,False,无
ITEM-00007,29,图像,情绪识别,单选题,13,2,17.256153846153843,13.18,0.15384615384615385,无,样本不足，补测后判断,17.0525,22.343,0.772907198358012,False,无
ITEM-00008,30,图像,情绪识别,单选题,8,0,24.995,23.185000000000002,0.0,地板题,样本不足，补测后判断,17.0525,22.343,1.3596246884621026,False,无
ITEM-00009,7,音频,情绪识别,单选题,35,14,29.168857142857142,23.96,0.4,无,保留进入难度分级,37.0,58.64900000000002,0.6475675675675676,False,无
ITEM-00010,63,文本,情绪识别,多选题,33,9,20.94393939393939,18.18,0.2727272727272727,无,保留进入难度分级,24.06,33.428,0.7556109725685786,False,无
ITEM-00011,25,图像,情绪识别,单选题,10,9,23.837,22.165,0.9,天花板题,样本不足，补测后判断,17.0525,22.343,1.2998094121096615,False,无
ITEM-00012,26,图像,情绪识别,单选题,12,11,17.105,14.469999999999999,0.9166666666666666,天花板题,样本不足，补测后判断,17.0525,22.343,0.8485559302155109,False,无
ITEM-00013,27,图像,情绪识别,单选题,15,13,13.25,10.59,0.8666666666666667,天花板题,建议删除（须内容复核）,17.0525,22.343,0.6210233103650492,False,无
ITEM-00014,1,视频,情绪识别,单选题,8,7,40.4025,38.14,0.875,天花板题,样本不足，补测后判断,38.1975,59.325,0.998494665881275,False,无
ITEM-00015,4,视频,情绪识别,单选题,6,1,47.055,40.265,0.16666666666666666,无,样本不足，补测后判断,38.1975,59.325,1.054126578964592,False,无
ITEM-00016,9,视频,情绪识别,单选题,8,6,55.5125,60.04,0.75,无,样本不足，补测后判断,38.1975,59.325,1.5718306171869887,False,无
ITEM-00017,10,视频,情绪识别,单选题,6,5,36.089999999999996,41.845,0.8333333333333334,无,样本不足，补测后判断,38.1975,59.325,1.0954905425747758,False,无
ITEM-00018,11,视频,情绪识别,单选题,6,5,28.406666666666666,28.630000000000003,0.8333333333333334,无,样本不足，补测后判断,38.1975,59.325,0.7495254925060542,False,无
ITEM-00019,12,视频,情绪识别,单选题,7,4,27.93,30.06,0.5714285714285714,无,样本不足，补测后判断,38.1975,59.325,0.786962497545651,False,无
ITEM-00020,13,视频,情绪识别,单选题,10,5,40.983,37.7,0.5,无,样本不足，补测后判断,38.1975,59.325,0.986975587407553,False,无
ITEM-00021,14,视频,情绪识别,单选题,6,1,54.96,54.16,0.16666666666666666,无,样本不足，补测后判断,38.1975,59.325,1.417893841219975,False,无
ITEM-00022,16,视频,情绪识别,单选题,9,6,40.84,35.48,0.6666666666666666,无,样本不足，补测后判断,38.1975,59.325,0.928856600562864,False,无
ITEM-00023,55,视频,情绪识别,单选题,7,5,42.457142857142856,39.13,0.7142857142857143,无,样本不足，补测后判断,38.1975,59.325,1.0244125924471499,False,无
ITEM-00024,57,视频,情绪识别,单选题,3,1,68.74,68.3,0.3333333333333333,无,样本不足，补测后判断,38.1975,59.325,1.7880751358073173,False,无
ITEM-00025,60,视频,情绪识别,单选题,4,2,36.995,33.445,0.5,无,样本不足，补测后判断,38.1975,59.325,0.8755808626218994,False,无
ITEM-00026,64,视频,情绪识别,单选题,8,5,47.42,51.239999999999995,0.625,无,样本不足，补测后判断,38.1975,59.325,1.3414490477125465,False,无
ITEM-00027,83,视频,情绪识别,单选题,8,4,40.22375,38.254999999999995,0.5,无,样本不足，补测后判断,38.1975,59.325,1.001505334118725,False,无
ITEM-00028,24,图像,情绪识别,单选题,3,1,22.626666666666665,11.3,0.3333333333333333,无,样本不足，补测后判断,17.0525,22.343,0.6626594341005718,False,无
ITEM-00029,34,图像,情绪识别,单选题,6,0,16.355,15.17,0.0,地板题,样本不足，补测后判断,17.0525,22.343,0.8896056296730686,False,无
ITEM-00030,42,图像,情绪识别,单选题,8,4,13.69875,12.8,0.5,无,样本不足，补测后判断,17.0525,22.343,0.750623075795338,False,无
ITEM-00032,41,图像,情绪识别,单选题,5,2,20.49,19.73,0.4,无,样本不足，补测后判断,17.0525,22.343,1.1570151004251576,False,无
ITEM-00033,44,图像,情绪识别,单选题,9,5,12.407777777777778,10.61,0.5555555555555556,无,样本不足，补测后判断,17.0525,22.343,0.6221961589209793,False,无
ITEM-00034,43,图像,情绪识别,单选题,8,7,15.469999999999999,13.879999999999999,0.875,天花板题,样本不足，补测后判断,17.0525,22.343,0.8139568978155696,False,无
ITEM-00035,96,图像,情绪识别,单选题,3,1,11.946666666666667,12.65,0.3333333333333333,无,样本不足，补测后判断,17.0525,22.343,0.7418267116258614,False,无
ITEM-00036,45,图像,情绪识别,单选题,7,1,28.185714285714287,22.71,0.14285714285714285,地板题,样本不足，补测后判断,17.0525,22.343,1.33176953525876,False,无
ITEM-00037,50,文本,情绪识别,单选题,14,10,20.59357142857143,17.35,0.7142857142857143,无,样本不足，补测后判断,24.06,33.428,0.7211138819617624,False,无
ITEM-00038,51,文本,情绪识别,单选题,9,7,34.77333333333333,31.28,0.7777777777777778,无,样本不足，补测后判断,24.06,33.428,1.3000831255195346,False,无
ITEM-00039,52,文本,情绪识别,单选题,13,11,21.323076923076922,18.18,0.8461538461538461,无,样本不足，补测后判断,24.06,33.428,0.7556109725685786,False,无
ITEM-00040,53,文本,情绪识别,单选题,16,10,20.03625,14.1,0.625,无,保留进入难度分级,24.06,33.428,0.5860349127182045,False,无
ITEM-00041,54,文本,情绪识别,单选题,18,3,18.413888888888888,16.86,0.16666666666666666,无,保留进入难度分级,24.06,33.428,0.7007481296758105,False,无
ITEM-00042,61,视频,情绪识别,多选题,22,4,35.12409090909091,29.22,0.18181818181818182,无,保留进入难度分级,38.1975,59.325,0.7649715295503633,False,无
ITEM-00043,65,视频,情绪识别,多选题,17,0,39.72176470588235,30.72,0.0,地板题,建议删除（须内容复核）,38.1975,59.325,0.8042411152562341,False,无
ITEM-00044,80,视频,情绪识别,多选题,21,0,22.74904761904762,20.75,0.0,地板题,建议删除（须内容复核）,38.1975,59.325,0.5432292689312128,False,无
ITEM-00045,2,音频,情绪识别,单选题,31,9,46.24903225806452,38.11,0.2903225806451613,无,保留进入难度分级,37.0,58.64900000000002,1.03,False,无
ITEM-00046,89,图像,情绪识别,多选题,12,0,22.88,21.865,0.0,地板题,样本不足，补测后判断,17.0525,22.343,1.282216683770708,False,无
ITEM-00047,90,图像,情绪识别,多选题,16,3,24.405625,17.799999999999997,0.1875,无,保留进入难度分级,17.0525,22.343,1.0438352147778918,False,无
ITEM-00048,2,音频,情绪识别,单选题,34,24,44.434705882352944,40.790000000000006,0.7058823529411765,无,保留进入难度分级,37.0,58.64900000000002,1.1024324324324326,False,无
ITEM-00049,17,音频,情绪识别,单选题,43,18,69.76511627906977,65.84,0.4186046511627907,无,保留进入难度分级,37.0,58.64900000000002,1.7794594594594595,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00050,92,图像,情绪识别,多选题,20,5,18.910999999999998,16.23,0.25,无,保留进入难度分级,17.0525,22.343,0.95176660313737,False,无
ITEM-00051,93,图像,情绪识别,单选题,15,7,18.505333333333333,16.39,0.4666666666666667,无,保留进入难度分级,17.0525,22.343,0.9611493915848117,False,无
ITEM-00052,94,图像,情绪识别,多选题,15,0,21.077333333333335,15.92,0.0,地板题,建议删除（须内容复核）,17.0525,22.343,0.9335874505204517,False,无
ITEM-00053,95,图像,情绪识别,多选题,15,1,25.63266666666667,18.63,0.06666666666666667,地板题,建议删除（须内容复核）,17.0525,22.343,1.0925084298489958,False,无
ITEM-00054,97,图像,情绪识别,多选题,15,1,16.010666666666665,13.9,0.06666666666666667,地板题,建议删除（须内容复核）,17.0525,22.343,0.8151297463714999,False,无
ITEM-00055,98,图像,情绪识别,多选题,18,1,24.23611111111111,20.439999999999998,0.05555555555555555,地板题,建议删除（须内容复核）,17.0525,22.343,1.1986512241606802,False,无
ITEM-00056,101,图像,情绪识别,单选题,11,3,25.90090909090909,23.4,0.2727272727272727,无,样本不足，补测后判断,17.0525,22.343,1.372232810438352,False,无
ITEM-00057,23,音频,情绪识别,单选题,33,21,36.079090909090915,32.24,0.6363636363636364,无,保留进入难度分级,37.0,58.64900000000002,0.8713513513513514,False,无
