题目编号,题目标题,素材模态,能力类型,选项形式,有效作答人数,答对人数,平均作答时间秒,作答时间中位数秒,难度_严格答对率,极端效应,题目处理建议,模态作答中位数秒,模态长时阈值秒,相对模态中位数倍数,作答过久,时间复核建议
ITEM-00141,67,文本,情绪推理,多选题,48,4,55.727916666666665,50.665,0.08333333333333333,地板题,建议删除（须内容复核）,24.06,33.428,2.1057772236076477,True,检查并精简题干/选项阅读负荷
ITEM-00071,91,图像,情绪识别,多选题,18,1,30.098888888888887,30.855,0.05555555555555555,地板题,建议删除（须内容复核）,17.0525,22.343,1.8094121096613403,True,检查并精简题干/选项阅读负荷
ITEM-00049,17,音频,情绪识别,单选题,43,18,69.76511627906977,65.84,0.4186046511627907,无,保留进入难度分级,37.0,58.64900000000002,1.7794594594594595,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00138,22,音频,情绪推理,多选题,37,0,63.70081081081081,62.23,0.0,地板题,建议删除（须内容复核）,37.0,58.64900000000002,1.6818918918918917,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00109,88,音频,情绪推理,多选题,49,3,58.04775510204082,59.78,0.061224489795918366,地板题,建议删除（须内容复核）,37.0,58.64900000000002,1.6156756756756756,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00146,118,文本,情绪识别,多选题,31,14,41.25096774193548,38.32,0.45161290322580644,无,保留进入难度分级,24.06,33.428,1.5926849542809645,True,检查并精简题干/选项阅读负荷
ITEM-00102,57,视频,情绪推理,多选题,35,8,69.03914285714285,60.27,0.22857142857142856,无,保留进入难度分级,38.1975,59.325,1.5778519536618891,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00127,87,视频,情绪识别,多选题,20,1,69.15450000000001,60.075,0.05,地板题,建议删除（须内容复核）,38.1975,59.325,1.572746907520126,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00100,10,视频,情绪推理,多选题,33,5,52.83787878787879,59.61,0.15151515151515152,无,保留进入难度分级,38.1975,59.325,1.5605733359513059,True,先核对素材时长；若素材不长则精简题干/选项
ITEM-00095,59,文本,情绪识别,多选题,28,9,37.542142857142856,35.04,0.32142857142857145,无,保留进入难度分级,24.06,33.428,1.4563591022443891,True,检查并精简题干/选项阅读负荷
ITEM-00078,89,图像,情绪推理,多选题,64,3,26.93796875,22.36,0.046875,地板题,建议删除（须内容复核）,17.0525,22.343,1.311244685529981,True,检查并精简题干/选项阅读负荷
